observation_id,observation_family,observation_level,observation_status,source_candidate_id,symbol,timeframe,session_id,session_timezone,prior_session_local_date,next_session_local_date,first_break_direction,first_break_mode,prior_or_break_edge_value,next_session_open_utc,next_session_first_bar_open,next_session_first_bar_close,next_session_first_30m_bar_count,next_session_first_bar_expected_side,next_session_first_30m_all_closes_expected_side,next_session_first_30m_any_close_opposite_or_at_boundary,observation_scope
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-05|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-05|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-05,2021-07-06,up,close,1.38222,2021-07-06T07:00:00Z,1.38833,1.38832,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-08|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-08|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-08,2021-07-09,up,wick,1.37742,2021-07-09T13:30:00Z,1.38003,1.38084,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-09|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-09|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-09,2021-07-10,up,close,1.38127,2021-07-10T13:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-12|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-12|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-12,2021-07-13,up,close,1.38530,2021-07-13T13:30:00Z,1.38521,1.38569,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-13|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-13|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-13,2021-07-14,down,close,1.38935,2021-07-14T07:00:00Z,1.38186,1.38188,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-13|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_not_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-13|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-13,2021-07-14,down,close,1.38520,2021-07-14T13:30:00Z,1.38554,1.38675,2,0,0,1,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-15|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-15|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-15,2021-07-16,down,close,1.38688,2021-07-16T13:30:00Z,1.38147,1.38134,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-16|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-16|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-16,2021-07-17,down,close,1.38358,2021-07-17T07:00:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-16|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-16,2021-07-17,down,wick,1.38024,2021-07-17T13:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-19|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-19|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-19,2021-07-20,down,close,1.37554,2021-07-20T07:00:00Z,1.36702,1.36654,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-19|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-19|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-19,2021-07-20,down,close,1.37025,2021-07-20T13:30:00Z,1.36464,1.3636,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-22|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-22|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-22,2021-07-23,up,close,1.37153,2021-07-23T07:00:00Z,1.37604,1.3758,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-26|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-26|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-26,2021-07-27,up,close,1.37486,2021-07-27T07:00:00Z,1.38274,1.3824,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-28|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-28|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-28,2021-07-29,up,wick,1.38808,2021-07-29T13:30:00Z,1.39572,1.39594,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-29|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-29|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-29,2021-07-30,up,wick,1.39285,2021-07-30T07:00:00Z,1.39418,1.39458,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-30|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-30,2021-07-31,down,close,1.39653,2021-07-31T13:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-02|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-02|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-02,2021-08-03,down,wick,1.38979,2021-08-03T07:00:00Z,1.38923,1.38938,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-03|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-03|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-03,2021-08-04,up,wick,1.38980,2021-08-04T07:00:00Z,1.39244,1.39257,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-04|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_not_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-04|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-04,2021-08-05,down,wick,1.39222,2021-08-05T13:30:00Z,1.39254,1.39249,2,0,0,1,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-06|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-06|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-06,2021-08-07,down,wick,1.39173,2021-08-07T07:00:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-06|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-06|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-06,2021-08-07,down,wick,1.39071,2021-08-07T13:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-09|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-09|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-09,2021-08-10,down,wick,1.38784,2021-08-10T13:30:00Z,1.38547,1.38568,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-10|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-10|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-10,2021-08-11,down,close,1.38459,2021-08-11T07:00:00Z,1.38278,1.38289,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-12|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-12|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-12,2021-08-13,down,close,1.38722,2021-08-13T07:00:00Z,1.38132,1.38138,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-12|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-12|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-12,2021-08-13,down,wick,1.38497,2021-08-13T13:30:00Z,1.37931,1.37961,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-13|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-13|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-13,2021-08-14,up,close,1.37994,2021-08-14T13:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-18|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-18|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-18,2021-08-19,down,wick,1.37494,2021-08-19T13:30:00Z,1.36905,1.36927,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-19|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-19|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-19,2021-08-20,down,close,1.37193,2021-08-20T07:00:00Z,1.36293,1.3634,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-19|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-19|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-19,2021-08-20,down,wick,1.36858,2021-08-20T13:30:00Z,1.36194,1.36182,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-23|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-23,2021-08-24,up,wick,1.36781,2021-08-24T13:30:00Z,1.3721,1.37284,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-24|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_not_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-24|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-24,2021-08-25,up,close,1.37202,2021-08-25T07:00:00Z,1.37181,1.3717,2,0,0,1,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-26|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-26|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-26,2021-08-27,down,wick,1.37369,2021-08-27T13:30:00Z,1.37055,1.37062,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-27|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-27,2021-08-28,up,close,1.36988,2021-08-28T07:00:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-27|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-27|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-27,2021-08-28,up,close,1.37106,2021-08-28T13:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
