relation_id,relation_family,relation_level,relation_status,source_ib_object_id,source_or_row_key,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,ib_start_utc,ib_end_utc,or_bar_time_utc,ib_high,ib_low,ib_range,opening_range_high,opening_range_low,opening_range_width,or_inside_ib,ib_equals_or,ib_width_minus_or_width,ib_width_to_or_width_ratio,or_high_to_ib_high_gap,or_low_to_ib_low_gap,first_break_direction,first_break_mode,width_error_day
IBOR|EURUSD|M1|new_york|2026-03-17|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-17|60,OR|EURUSD|M1|new_york|2026-03-17|30,EURUSD,M1,new_york,America/New_York,2026-03-17,60,30,2026-03-17T13:30:00Z,2026-03-17T14:30:00Z,2026-03-17T14:00:00Z,1.15187,1.15048,0.00139,1.15126,1.15054,0.00072,1,0,0.00067,1.930555555555555555555555556,0.00061,0.00006,down,close,0
IBOR|EURUSD|M1|london|2026-03-18|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-18|60,OR|EURUSD|M1|london|2026-03-18|30,EURUSD,M1,london,Europe/London,2026-03-18,60,30,2026-03-18T08:00:00Z,2026-03-18T09:00:00Z,2026-03-18T08:30:00Z,1.15468,1.15401,0.00067,1.15439,1.15401,0.00038,1,0,0.00029,1.763157894736842105263157895,0.00029,0.00000,up,close,0
IBOR|EURUSD|M1|new_york|2026-03-18|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-18|60,OR|EURUSD|M1|new_york|2026-03-18|30,EURUSD,M1,new_york,America/New_York,2026-03-18,60,30,2026-03-18T13:30:00Z,2026-03-18T14:30:00Z,2026-03-18T14:00:00Z,1.15553,1.15321,0.00232,1.15424,1.15338,0.00086,1,0,0.00146,2.697674418604651162790697674,0.00129,0.00017,up,close,0
IBOR|EURUSD|M1|london|2026-03-19|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-19|60,OR|EURUSD|M1|london|2026-03-19|30,EURUSD,M1,london,Europe/London,2026-03-19,60,30,2026-03-19T08:00:00Z,2026-03-19T09:00:00Z,2026-03-19T08:30:00Z,1.14710,1.14636,0.00074,1.14710,1.14675,0.00035,1,0,0.00039,2.114285714285714285714285714,0.00000,0.00039,down,wick,0
IBOR|EURUSD|M1|new_york|2026-03-19|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-19|60,OR|EURUSD|M1|new_york|2026-03-19|30,EURUSD,M1,new_york,America/New_York,2026-03-19,60,30,2026-03-19T13:30:00Z,2026-03-19T14:30:00Z,2026-03-19T14:00:00Z,1.14814,1.14658,0.00156,1.14779,1.14667,0.00112,1,0,0.00044,1.392857142857142857142857143,0.00035,0.00009,up,wick,0
IBOR|EURUSD|M1|london|2026-03-20|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-20|60,OR|EURUSD|M1|london|2026-03-20|30,EURUSD,M1,london,Europe/London,2026-03-20,60,30,2026-03-20T08:00:00Z,2026-03-20T09:00:00Z,2026-03-20T08:30:00Z,1.15612,1.15523,0.00089,1.15612,1.15552,0.00060,1,0,0.00029,1.483333333333333333333333333,0.00000,0.00029,down,wick,0
IBOR|EURUSD|M1|new_york|2026-03-20|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-20|60,OR|EURUSD|M1|new_york|2026-03-20|30,EURUSD,M1,new_york,America/New_York,2026-03-20,60,30,2026-03-20T13:30:00Z,2026-03-20T14:30:00Z,2026-03-20T14:00:00Z,1.15719,1.15434,0.00285,1.15625,1.15434,0.00191,1,0,0.00094,1.492146596858638743455497382,0.00094,0.00000,up,wick,0
IBOR|EURUSD|M1|london|2026-03-23|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-23|60,OR|EURUSD|M1|london|2026-03-23|30,EURUSD,M1,london,Europe/London,2026-03-23,60,30,2026-03-23T08:00:00Z,2026-03-23T09:00:00Z,2026-03-23T08:30:00Z,1.15525,1.15341,0.00184,1.15525,1.15392,0.00133,1,0,0.00051,1.383458646616541353383458647,0.00000,0.00051,down,close,0
IBOR|EURUSD|M1|new_york|2026-03-23|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-23|60,OR|EURUSD|M1|new_york|2026-03-23|30,EURUSD,M1,new_york,America/New_York,2026-03-23,60,30,2026-03-23T13:30:00Z,2026-03-23T14:30:00Z,2026-03-23T14:00:00Z,1.16191,1.14844,0.01347,1.15013,1.14844,0.00169,1,0,0.01178,7.970414201183431952662721893,0.01178,0.00000,up,close,0
IBOR|EURUSD|M1|london|2026-03-24|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-24|60,OR|EURUSD|M1|london|2026-03-24|30,EURUSD,M1,london,Europe/London,2026-03-24,60,30,2026-03-24T08:00:00Z,2026-03-24T09:00:00Z,2026-03-24T08:30:00Z,1.15892,1.15757,0.00135,1.15847,1.15757,0.00090,1,0,0.00045,1.5,0.00045,0.00000,up,wick,0
IBOR|EURUSD|M1|new_york|2026-03-24|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-24|60,OR|EURUSD|M1|new_york|2026-03-24|30,EURUSD,M1,new_york,America/New_York,2026-03-24,60,30,2026-03-24T13:30:00Z,2026-03-24T14:30:00Z,2026-03-24T14:00:00Z,1.16004,1.15832,0.00172,1.15923,1.15832,0.00091,1,0,0.00081,1.890109890109890109890109890,0.00081,0.00000,up,close,0
IBOR|EURUSD|M1|london|2026-03-25|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-25|60,OR|EURUSD|M1|london|2026-03-25|30,EURUSD,M1,london,Europe/London,2026-03-25,60,30,2026-03-25T08:00:00Z,2026-03-25T09:00:00Z,2026-03-25T08:30:00Z,1.15981,1.15889,0.00092,1.15979,1.15923,0.00056,1,0,0.00036,1.642857142857142857142857143,0.00002,0.00034,up,wick,0
IBOR|EURUSD|M1|new_york|2026-03-25|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-25|60,OR|EURUSD|M1|new_york|2026-03-25|30,EURUSD,M1,new_york,America/New_York,2026-03-25,60,30,2026-03-25T13:30:00Z,2026-03-25T14:30:00Z,2026-03-25T14:00:00Z,1.16114,1.15959,0.00155,1.16054,1.15959,0.00095,1,0,0.00060,1.631578947368421052631578947,0.00060,0.00000,up,close,0
IBOR|EURUSD|M1|london|2026-03-26|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-26|60,OR|EURUSD|M1|london|2026-03-26|30,EURUSD,M1,london,Europe/London,2026-03-26,60,30,2026-03-26T08:00:00Z,2026-03-26T09:00:00Z,2026-03-26T08:30:00Z,1.15698,1.15577,0.00121,1.15698,1.15616,0.00082,1,0,0.00039,1.475609756097560975609756098,0.00000,0.00039,down,wick,0
IBOR|EURUSD|M1|new_york|2026-03-26|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-26|60,OR|EURUSD|M1|new_york|2026-03-26|30,EURUSD,M1,new_york,America/New_York,2026-03-26,60,30,2026-03-26T13:30:00Z,2026-03-26T14:30:00Z,2026-03-26T14:00:00Z,1.15637,1.15430,0.00207,1.15637,1.15546,0.00091,1,0,0.00116,2.274725274725274725274725275,0.00000,0.00116,down,wick,0
IBOR|EURUSD|M1|london|2026-03-27|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-27|60,OR|EURUSD|M1|london|2026-03-27|30,EURUSD,M1,london,Europe/London,2026-03-27,60,30,2026-03-27T08:00:00Z,2026-03-27T09:00:00Z,2026-03-27T08:30:00Z,1.15461,1.15373,0.00088,1.15457,1.15403,0.00054,1,0,0.00034,1.629629629629629629629629630,0.00004,0.00030,down,close,0
IBOR|EURUSD|M1|new_york|2026-03-27|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-27|60,OR|EURUSD|M1|new_york|2026-03-27|30,EURUSD,M1,new_york,America/New_York,2026-03-27,60,30,2026-03-27T13:30:00Z,2026-03-27T14:30:00Z,2026-03-27T14:00:00Z,1.15257,1.15091,0.00166,1.15257,1.15101,0.00156,1,0,0.00010,1.064102564102564102564102564,0.00000,0.00010,down,wick,0
IBOR|EURUSD|M1|london|2026-03-30|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-30|60,OR|EURUSD|M1|london|2026-03-30|30,EURUSD,M1,london,Europe/London,2026-03-30,60,30,2026-03-30T07:00:00Z,2026-03-30T08:00:00Z,2026-03-30T07:30:00Z,1.15212,1.15136,0.00076,1.15212,1.15149,0.00063,1,0,0.00013,1.206349206349206349206349206,0.00000,0.00013,down,close,0
IBOR|EURUSD|M1|new_york|2026-03-30|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-30|60,OR|EURUSD|M1|new_york|2026-03-30|30,EURUSD,M1,new_york,America/New_York,2026-03-30,60,30,2026-03-30T13:30:00Z,2026-03-30T14:30:00Z,2026-03-30T14:00:00Z,1.15001,1.14875,0.00126,1.14951,1.14880,0.00071,1,0,0.00055,1.774647887323943661971830986,0.00050,0.00005,down,wick,0
IBOR|EURUSD|M1|london|2026-03-31|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-31|60,OR|EURUSD|M1|london|2026-03-31|30,EURUSD,M1,london,Europe/London,2026-03-31,60,30,2026-03-31T07:00:00Z,2026-03-31T08:00:00Z,2026-03-31T07:30:00Z,1.14728,1.14689,0.00039,1.14722,1.14696,0.00026,1,0,0.00013,1.5,0.00006,0.00007,up,close,0
IBOR|EURUSD|M1|new_york|2026-03-31|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-31|60,OR|EURUSD|M1|new_york|2026-03-31|30,EURUSD,M1,new_york,America/New_York,2026-03-31,60,30,2026-03-31T13:30:00Z,2026-03-31T14:30:00Z,2026-03-31T14:00:00Z,1.14851,1.14575,0.00276,1.14683,1.14580,0.00103,1,0,0.00173,2.679611650485436893203883495,0.00168,0.00005,down,wick,0
IBOR|EURUSD|M1|london|2026-04-01|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-04-01|60,OR|EURUSD|M1|london|2026-04-01|30,EURUSD,M1,london,Europe/London,2026-04-01,60,30,2026-04-01T07:00:00Z,2026-04-01T08:00:00Z,2026-04-01T07:30:00Z,1.15665,1.15595,0.00070,1.15629,1.15595,0.00034,1,0,0.00036,2.058823529411764705882352941,0.00036,0.00000,up,wick,0
IBOR|EURUSD|M1|new_york|2026-04-01|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-04-01|60,OR|EURUSD|M1|new_york|2026-04-01|30,EURUSD,M1,new_york,America/New_York,2026-04-01,60,30,2026-04-01T13:30:00Z,2026-04-01T14:30:00Z,2026-04-01T14:00:00Z,1.16057,1.15954,0.00103,1.16036,1.15954,0.00082,1,0,0.00021,1.256097560975609756097560976,0.00021,0.00000,up,wick,0
IBOR|EURUSD|M1|london|2026-04-02|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-04-02|60,OR|EURUSD|M1|london|2026-04-02|30,EURUSD,M1,london,Europe/London,2026-04-02,60,30,2026-04-02T07:00:00Z,2026-04-02T08:00:00Z,2026-04-02T07:30:00Z,1.15419,1.15321,0.00098,1.15419,1.15349,0.00070,1,0,0.00028,1.4,0.00000,0.00028,down,wick,0
IBOR|EURUSD|M1|new_york|2026-04-02|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-04-02|60,OR|EURUSD|M1|new_york|2026-04-02|30,EURUSD,M1,new_york,America/New_York,2026-04-02,60,30,2026-04-02T13:30:00Z,2026-04-02T14:30:00Z,2026-04-02T14:00:00Z,1.15204,1.15091,0.00113,1.15204,1.15111,0.00093,1,0,0.00020,1.215053763440860215053763441,0.00000,0.00020,down,wick,0
IBOR|EURUSD|M1|london|2026-04-03|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-04-03|60,OR|EURUSD|M1|london|2026-04-03|30,EURUSD,M1,london,Europe/London,2026-04-03,60,30,2026-04-03T07:00:00Z,2026-04-03T08:00:00Z,2026-04-03T07:30:00Z,1.15364,1.15339,0.00025,1.15364,1.15344,0.00020,1,0,0.00005,1.25,0.00000,0.00005,down,wick,0
IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-04-03|60,OR|EURUSD|M1|new_york|2026-04-03|30,EURUSD,M1,new_york,America/New_York,2026-04-03,60,30,2026-04-03T13:30:00Z,2026-04-03T14:30:00Z,2026-04-03T14:00:00Z,1.15490,1.15419,0.00071,1.15490,1.15419,0.00071,1,1,0.00000,1,0.00000,0.00000,down,close,0
IBOR|EURUSD|M1|london|2026-04-06|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-04-06|60,OR|EURUSD|M1|london|2026-04-06|30,EURUSD,M1,london,Europe/London,2026-04-06,60,30,2026-04-06T07:00:00Z,2026-04-06T08:00:00Z,2026-04-06T07:30:00Z,1.15251,1.15185,0.00066,1.15213,1.15185,0.00028,1,0,0.00038,2.357142857142857142857142857,0.00038,0.00000,up,close,0
IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-04-06|60,OR|EURUSD|M1|new_york|2026-04-06|30,EURUSD,M1,new_york,America/New_York,2026-04-06,60,30,2026-04-06T13:30:00Z,2026-04-06T14:30:00Z,2026-04-06T14:00:00Z,1.15516,1.15376,0.00140,1.15516,1.15376,0.00140,1,1,0.00000,1,0.00000,0.00000,up,wick,0
IBOR|EURUSD|M1|london|2026-04-07|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-04-07|60,OR|EURUSD|M1|london|2026-04-07|30,EURUSD,M1,london,Europe/London,2026-04-07,60,30,2026-04-07T07:00:00Z,2026-04-07T08:00:00Z,2026-04-07T07:30:00Z,1.15388,1.15330,0.00058,1.15360,1.15330,0.00030,1,0,0.00028,1.933333333333333333333333333,0.00028,0.00000,up,wick,0
IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-04-07|60,OR|EURUSD|M1|new_york|2026-04-07|30,EURUSD,M1,new_york,America/New_York,2026-04-07,60,30,2026-04-07T13:30:00Z,2026-04-07T14:30:00Z,2026-04-07T14:00:00Z,1.15587,1.15464,0.00123,1.15587,1.15464,0.00123,1,1,0.00000,1,0.00000,0.00000,up,wick,0
IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-04-08|60,OR|EURUSD|M1|london|2026-04-08|30,EURUSD,M1,london,Europe/London,2026-04-08,60,30,2026-04-08T07:00:00Z,2026-04-08T08:00:00Z,2026-04-08T07:30:00Z,1.16811,1.16708,0.00103,1.16811,1.16708,0.00103,1,1,0.00000,1,0.00000,0.00000,up,close,0
IBOR|EURUSD|M1|new_york|2026-04-08|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-04-08|60,OR|EURUSD|M1|new_york|2026-04-08|30,EURUSD,M1,new_york,America/New_York,2026-04-08,60,30,2026-04-08T13:30:00Z,2026-04-08T14:30:00Z,2026-04-08T14:00:00Z,1.17101,1.16844,0.00257,1.16924,1.16844,0.00080,1,0,0.00177,3.2125,0.00177,0.00000,up,close,0
IBOR|EURUSD|M1|london|2026-04-09|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-04-09|60,OR|EURUSD|M1|london|2026-04-09|30,EURUSD,M1,london,Europe/London,2026-04-09,60,30,2026-04-09T07:00:00Z,2026-04-09T08:00:00Z,2026-04-09T07:30:00Z,1.16711,1.16620,0.00091,1.16699,1.16620,0.00079,1,0,0.00012,1.151898734177215189873417722,0.00012,0.00000,up,close,0
IBOR|EURUSD|M1|new_york|2026-04-09|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-04-09|60,OR|EURUSD|M1|new_york|2026-04-09|30,EURUSD,M1,new_york,America/New_York,2026-04-09,60,30,2026-04-09T13:30:00Z,2026-04-09T14:30:00Z,2026-04-09T14:00:00Z,1.16812,1.16696,0.00116,1.16776,1.16711,0.00065,1,0,0.00051,1.784615384615384615384615385,0.00036,0.00015,down,close,0
IBOR|EURUSD|M1|london|2026-04-10|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-04-10|60,OR|EURUSD|M1|london|2026-04-10|30,EURUSD,M1,london,Europe/London,2026-04-10,60,30,2026-04-10T07:00:00Z,2026-04-10T08:00:00Z,2026-04-10T07:30:00Z,1.16966,1.16911,0.00055,1.16966,1.16931,0.00035,1,0,0.00020,1.571428571428571428571428571,0.00000,0.00020,down,wick,0
IBOR|EURUSD|M1|new_york|2026-04-10|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-04-10|60,OR|EURUSD|M1|new_york|2026-04-10|30,EURUSD,M1,new_york,America/New_York,2026-04-10,60,30,2026-04-10T13:30:00Z,2026-04-10T14:30:00Z,2026-04-10T14:00:00Z,1.17188,1.17103,0.00085,1.17158,1.17103,0.00055,1,0,0.00030,1.545454545454545454545454545,0.00030,0.00000,up,close,0
IBOR|EURUSD|M1|london|2026-04-13|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-04-13|60,OR|EURUSD|M1|london|2026-04-13|30,EURUSD,M1,london,Europe/London,2026-04-13,60,30,2026-04-13T07:00:00Z,2026-04-13T08:00:00Z,2026-04-13T07:30:00Z,1.16902,1.16858,0.00044,1.16902,1.16870,0.00032,1,0,0.00012,1.375,0.00000,0.00012,down,close,0
IBOR|EURUSD|M1|new_york|2026-04-13|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-04-13|60,OR|EURUSD|M1|new_york|2026-04-13|30,EURUSD,M1,new_york,America/New_York,2026-04-13,60,30,2026-04-13T13:30:00Z,2026-04-13T14:30:00Z,2026-04-13T14:00:00Z,1.16997,1.16841,0.00156,1.16951,1.16841,0.00110,1,0,0.00046,1.418181818181818181818181818,0.00046,0.00000,up,wick,0
IBOR|EURUSD|M1|london|2026-04-14|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-04-14|60,OR|EURUSD|M1|london|2026-04-14|30,EURUSD,M1,london,Europe/London,2026-04-14,60,30,2026-04-14T07:00:00Z,2026-04-14T08:00:00Z,2026-04-14T07:30:00Z,1.17699,1.17646,0.00053,1.17693,1.17646,0.00047,1,0,0.00006,1.127659574468085106382978723,0.00006,0.00000,up,close,0
IBOR|EURUSD|M1|new_york|2026-04-14|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-04-14|60,OR|EURUSD|M1|new_york|2026-04-14|30,EURUSD,M1,new_york,America/New_York,2026-04-14,60,30,2026-04-14T13:30:00Z,2026-04-14T14:30:00Z,2026-04-14T14:00:00Z,1.18020,1.17916,0.00104,1.17982,1.17916,0.00066,1,0,0.00038,1.575757575757575757575757576,0.00038,0.00000,up,close,0
