file_name	decision	target_family	target_path	reason
tk_r3_rr_minwin_recompute_cam_tp3.py	archive_only_frozen	tk_r3_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r3_rr_minwin_recompute_cam_tp3.py	与旧审计链强绑定，冻结保存
tk_r3_tp3_reason_smoketest.py	archive_only_frozen	tk_r3_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r3_tp3_reason_smoketest.py	与旧审计链强绑定，冻结保存
tk_r4_half_risk_paper_audit.py	archive_only_frozen	tk_r4_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r4_half_risk_paper_audit.py	与旧审计链强绑定，冻结保存
tk_r4_risk_corr_audit.py	archive_only_frozen	tk_r4_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r4_risk_corr_audit.py	与旧审计链强绑定，冻结保存
tk_r4_usd_half_risk_role_finalize.py	archive_only_frozen	tk_r4_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r4_usd_half_risk_role_finalize.py	与旧审计链强绑定，冻结保存
tk_r4_usd_half_risk_scheme_b.py	archive_only_frozen	tk_r4_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r4_usd_half_risk_scheme_b.py	与旧审计链强绑定，冻结保存
tk_r4_usd_half_risk_scheme_b_runner.py	archive_only_frozen	tk_r4_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r4_usd_half_risk_scheme_b_runner.py	与旧审计链强绑定，冻结保存
tk_r4_usd_overlap_depth_audit.py	archive_only_frozen	tk_r4_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r4_usd_overlap_depth_audit.py	与旧审计链强绑定，冻结保存
tk_r4_usd_overlap_heterogeneity_audit.py	archive_only_frozen	tk_r4_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r4_usd_overlap_heterogeneity_audit.py	与旧审计链强绑定，冻结保存
tk_r4_usd_overlap_negative_pockets.py	archive_only_frozen	tk_r4_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r4_usd_overlap_negative_pockets.py	与旧审计链强绑定，冻结保存
tk_r6_make_manual_sheet.py	already_absorbed	batch_04_tk_r6_manual_sheet_tools	20_tools_workspace/batch_04_tk_r6_manual_sheet_tools/tk_r6_make_manual_sheet.py	已单独进入活跃工具批次
tk_r6_summarize_manual_sheet.py	already_absorbed	batch_04_tk_r6_manual_sheet_tools	20_tools_workspace/batch_04_tk_r6_manual_sheet_tools/tk_r6_summarize_manual_sheet.py	已单独进入活跃工具批次
tk_r7_make_manual_sheet.py	already_absorbed	batch_05_tk_r7_manual_sheet_tools	20_tools_workspace/batch_05_tk_r7_manual_sheet_tools/tk_r7_make_manual_sheet.py	已单独进入活跃工具批次
tk_r7_summarize_manual_sheet.py	already_absorbed	batch_05_tk_r7_manual_sheet_tools	20_tools_workspace/batch_05_tk_r7_manual_sheet_tools/tk_r7_summarize_manual_sheet.py	已单独进入活跃工具批次
tk_r8_make_manual_sheet.py	already_absorbed	batch_06_tk_r8_manual_sheet_tools	20_tools_workspace/batch_06_tk_r8_manual_sheet_tools/tk_r8_make_manual_sheet.py	已单独进入活跃工具批次
tk_r8_summarize_manual_sheet.py	already_absorbed	batch_06_tk_r8_manual_sheet_tools	20_tools_workspace/batch_06_tk_r8_manual_sheet_tools/tk_r8_summarize_manual_sheet.py	已单独进入活跃工具批次
