artifact_file	repo_path	producer	input_sample	object_card	evidence_mode	current_role	note
registry_v0_601991_sh_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_601991_sh_output.json	run_registry_v0_minimal.py	acceptance_samples/watchlist_subset/601991_SH_1d.csv + acceptance_samples/watchlist_subset/601991_SH_1d.csv	VOLFAC_P0_A|BPB_P0_E|VP_P0_E|TKR7_P0_E|VOLTARGET_P0_R|PERIOD_QUEEN_P0_F	hard	current_terminal_rerun	验证 registry_v0 可统一串起 6 张已可跑对象卡并给出 permission/size/vote 聚合结果
registry_v0_601991_sh_acceptance.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_601991_sh_acceptance.json	run_registry_v0_acceptance_v1.py	acceptance_samples/registry_v0_sample_plan_v1.tsv + acceptance_outputs/registry_v0_601991_sh_output.json	registry_v0_minimal	hard	current_terminal_rerun	验证 registry_v0 当前样本的结构字段与结果字段是否同时满足 cards_run/vote_input_snapshot/vote counts/NO_TRADE/BLOCKED/VOLFAC_P0_A/blocked_to_zero 的机器验收条件
registry_v0_300302_self_proxy_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_300302_self_proxy_output.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/clean_subset/300302_SZ_1d.csv + acceptance_samples/clean_subset/300302_SZ_1d.csv	registry_v0_300302_self_proxy	hard	current_terminal_rerun	验证 registry_v0 在 clean 样本自代理场景下的 BUY/ALLOW 多样本输出
registry_v0_300302_self_proxy_acceptance.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_300302_self_proxy_acceptance.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/registry_v0_sample_plan_v1.tsv + acceptance_outputs/registry_v0_batch/registry_v0_300302_self_proxy_output.json	registry_v0_300302_self_proxy	hard	current_terminal_rerun	验证 registry_v0 在 clean 样本自代理场景下的结构字段与 BUY/ALLOW 验收条件
registry_v0_300302_601991_proxy_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_300302_601991_proxy_output.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/clean_subset/300302_SZ_1d.csv + acceptance_samples/watchlist_subset/601991_SH_1d.csv	registry_v0_300302_601991_proxy	hard	current_terminal_rerun	验证 registry_v0 在主标的与环境代理分离场景下的 BUY/ALLOW 多样本输出
registry_v0_300302_601991_proxy_acceptance.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_300302_601991_proxy_acceptance.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/registry_v0_sample_plan_v1.tsv + acceptance_outputs/registry_v0_batch/registry_v0_300302_601991_proxy_output.json	registry_v0_300302_601991_proxy	hard	current_terminal_rerun	验证 registry_v0 在主标的与环境代理分离场景下的结构字段与 BUY/ALLOW 验收条件
registry_v0_301666_601991_proxy_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_301666_601991_proxy_output.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/watchlist_subset/301666_SZ_1d.csv + acceptance_samples/watchlist_subset/601991_SH_1d.csv	registry_v0_301666_601991_proxy	hard	current_terminal_rerun	验证 registry_v0 在 watchlist 风格单买票场景下的 BUY/ALLOW 多样本输出
registry_v0_301666_601991_proxy_acceptance.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_301666_601991_proxy_acceptance.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/registry_v0_sample_plan_v1.tsv + acceptance_outputs/registry_v0_batch/registry_v0_301666_601991_proxy_output.json	registry_v0_301666_601991_proxy	hard	current_terminal_rerun	验证 registry_v0 在 watchlist 风格单买票场景下的结构字段与 BUY/ALLOW 验收条件
registry_v0_300750_self_proxy_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_300750_self_proxy_output.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/clean_subset/300750_SZ_1d.csv + acceptance_samples/clean_subset/300750_SZ_1d.csv	registry_v0_300750_self_proxy	hard	current_terminal_rerun	验证 registry_v0 在 clean 样本 SELL/EXIT 场景下的多样本输出
registry_v0_300750_self_proxy_acceptance.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_300750_self_proxy_acceptance.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/registry_v0_sample_plan_v1.tsv + acceptance_outputs/registry_v0_batch/registry_v0_300750_self_proxy_output.json	registry_v0_300750_self_proxy	hard	current_terminal_rerun	验证 registry_v0 在 clean 样本 SELL/EXIT 场景下的结构字段与 vote 计数验收条件
registry_v0_300750_601991_proxy_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_300750_601991_proxy_output.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/clean_subset/300750_SZ_1d.csv + acceptance_samples/watchlist_subset/601991_SH_1d.csv	registry_v0_300750_601991_proxy	hard	current_terminal_rerun	验证 registry_v0 在 SELL 主标的与强环境代理分离场景下的多样本输出
registry_v0_300750_601991_proxy_acceptance.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_300750_601991_proxy_acceptance.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/registry_v0_sample_plan_v1.tsv + acceptance_outputs/registry_v0_batch/registry_v0_300750_601991_proxy_output.json	registry_v0_300750_601991_proxy	hard	current_terminal_rerun	验证 registry_v0 在 SELL 主标的与强环境代理分离场景下 permission 变化但 SELL/EXIT 结论稳定的验收条件
registry_v0_minimal_output.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_minimal_output.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/watchlist_subset/601991_SH_1d.csv + acceptance_samples/watchlist_subset/601991_SH_1d.csv	registry_v0_minimal	hard	current_terminal_rerun	验证 registry_v0 blocked/no-trade 基线样本已纳入统一 batch 输出
registry_v0_minimal_acceptance.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch/registry_v0_minimal_acceptance.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/registry_v0_sample_plan_v1.tsv + acceptance_outputs/registry_v0_batch/registry_v0_minimal_output.json	registry_v0_minimal	hard	current_terminal_rerun	验证 registry_v0 blocked/no-trade 基线样本已纳入统一 batch 强验收
registry_v0_batch_acceptance_summary.json	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch_acceptance_summary.json	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/registry_v0_sample_plan_v1.tsv	registry_v0_batch	hard	current_terminal_rerun	汇总 6 条 minimal_registry_ready + multi_registry_ready 样本的 pass/fail、final_signal 与 blockers，作为 registry_v0 批量验收摘要
registry_v0_batch_acceptance_summary.tsv	02_runtime/butler_r0_ohlcv_object_cards/acceptance_outputs/registry_v0_batch_acceptance_summary.tsv	run_registry_v0_batch_acceptance_v1.py	acceptance_samples/registry_v0_sample_plan_v1.tsv	registry_v0_batch_scanline	hard	current_terminal_rerun	提供 6 条 registry_v0 批量验收样本的一行一条可扫读 TSV 摘要
