i_day(1~60),CLOSE_fixed,MA5,MA10,MA20,EMA12,EMA26,DIF,DEA,MACD_BAR_x2,RSI6,RSI12,RSI14,RSI24,"BOLL_U(20,2σ)",BOLL_M(MA20),"BOLL_L(20,2σ)"
36,148.5000,148.2600000000,145.3500000000,138.4600000000,143.6435209707,134.9917146098,8.6518063609,8.4912425409,0.3211276400,81.3864594239,91.0095761847,92.3470126098,95.6330434191,154.2644803774,138.4600000000,122.6555196226
37,147.0000,148.3800000000,146.0800000000,139.5750000000,144.1599023598,135.8812172313,8.2786851285,8.4487310584,-0.3400918598,66.5268555269,82.8808427072,85.3155768602,91.4651378304,154.4587999180,139.5750000000,124.6912000820
38,145.5000,147.9600000000,146.5200000000,140.5400000000,144.3660712276,136.5937196586,7.7723515689,8.3134551605,-1.0822071832,54.5706030720,75.5221804029,78.8499963647,87.4865005593,154.2893854408,140.5400000000,126.7906145592
39,143.9000,146.9800000000,146.6600000000,141.3450000000,144.2943679618,137.1349256098,7.1594423519,8.0826525988,-1.8464204938,44.3648115837,68.4502638711,72.5354399465,83.4463439822,153.8449960000,141.3450000000,128.8450040000
40,142.3000,145.4400000000,146.5100000000,141.9950000000,143.9875421215,137.5175237128,6.4700184087,7.7601257608,-2.5802147042,36.2332114802,62.1059537674,66.7764150812,79.6100788782,153.2077561286,141.9950000000,130.7822438714
41,140.7000,143.8800000000,146.0700000000,142.4850000000,143.4817664105,137.7532626971,5.7285037134,7.3538013513,-3.2505952757,29.7006368613,56.4029977313,61.5165415838,75.9658703412,152.5090261372,142.4850000000,132.4609738628
42,139.1000,142.3000000000,145.3400000000,142.8200000000,142.8076485012,137.8530210158,4.9546274854,6.8739665781,-3.8386781855,24.4178187095,51.2673393409,56.7062866727,72.5027083784,151.8744132886,142.8200000000,133.7655867114
43,137.5000,140.7000000000,144.3300000000,143.0000000000,141.9910871933,137.8268713109,4.1642158824,6.3320164390,-4.3356011132,20.1227633541,46.6350570774,52.3019665100,69.2103381800,151.4616783205,143.0000000000,134.5383216795
44,135.9000,139.1000000000,143.0400000000,143.0250000000,141.0539968559,137.6841401027,3.3698567532,5.7395845018,-4.7394554973,16.6155787923,42.4507095235,48.2649183387,66.0791973838,151.3992163813,143.0250000000,134.6507836187
45,134.3000,137.5000000000,141.4700000000,142.9000000000,140.0149204165,137.4334630581,2.5814573585,5.1079590732,-5.0530034294,13.7415672140,38.6659960954,44.5608100575,63.1003595247,151.7056799851,142.9000000000,134.0943200149
46,132.7000,135.9000000000,139.8900000000,142.6200000000,138.8895480447,137.0828361649,1.8067118799,4.4477096345,-5.2819955092,11.3795665957,35.2386650413,41.1590612419,60.2654829676,152.3051639119,142.6200000000,132.9348360881
47,131.2000,134.3200000000,138.3100000000,142.1950000000,137.7065406532,136.6470705230,1.0594701302,3.7700617336,-5.4211832068,9.5356311718,32.3096664356,38.2137903738,57.7283336766,153.0327995922,142.1950000000,131.3572004078
48,129.7000,132.7600000000,136.7300000000,141.6250000000,136.4747651681,136.1324727065,0.3422924616,3.0845078792,-5.4844308352,7.9833020854,29.6235469037,35.4796325619,55.2990487911,153.7552720497,141.6250000000,129.4947279503
49,128.2000,131.2200000000,135.1600000000,140.9100000000,135.2017243730,135.5448821357,-0.3431577626,2.3989747509,-5.4842650270,6.6786259538,27.1602581983,32.9414065889,52.9729559756,154.3633118599,140.9100000000,127.4566881401
50,126.8000,129.7200000000,133.6100000000,140.0600000000,133.9091513926,134.8971130886,-0.9879616960,1.7215874615,-5.4190983150,5.6453244052,25.0402287726,30.7315832056,50.8882395502,154.7654275694,140.0600000000,125.3545724306
51,125.5000,128.2800000000,132.0900000000,139.0800000000,132.6154357937,134.2010306376,-1.5855948439,1.0601510004,-5.2914916886,4.8151874944,23.2053788994,28.7996061103,49.0190373615,154.8827339407,139.0800000000,123.2772660593
52,124.3000,126.9000000000,130.6100000000,137.9750000000,131.3361379793,133.4676209607,-2.1314829814,0.4218242041,-5.1066143709,4.1407269433,21.6107537366,27.1056599544,47.3439977545,154.6427982949,137.9750000000,121.3072017051
53,123.2000,125.6000000000,129.1800000000,136.7550000000,130.0844244440,132.7070564451,-2.6226320011,-0.1870670370,-4.8711299282,3.5879141569,20.2211954281,25.6181595184,45.8455141527,153.9885109598,136.7550000000,119.5214890402
54,122.2000,124.4000000000,127.8100000000,135.4250000000,128.8714360680,131.9287559677,-3.0573198997,-0.7611176095,-4.5924045803,3.1317903597,19.0090279028,24.3119612346,44.5091432149,152.8396920731,135.4250000000,118.0103079269
55,121.4000,123.3200000000,126.5200000000,133.9950000000,127.7219843652,131.1488481182,-3.4268637530,-1.2942668382,-4.2651938296,2.7911507029,18.0639924334,23.2889379078,43.4518110363,151.0814244358,133.9950000000,116.9085755642
56,120.7000,122.3600000000,125.3200000000,132.6050000000,126.6416790783,130.3748593687,-3.7331802904,-1.7820495287,-3.9022615236,2.5050563284,17.2455972690,22.4007185620,42.5293616668,149.2630280946,132.6050000000,115.9469719054
57,120.1000,121.5200000000,124.2100000000,131.2600000000,125.6352669124,129.6137586747,-3.9784917624,-2.2213379754,-3.5143075739,2.2661393065,16.5447067938,21.6389134397,41.7368763669,147.3871696215,131.2600000000,115.1328303785
58,119.7000,120.8200000000,123.2100000000,129.9700000000,124.7221489259,128.8794061803,-4.1572572545,-2.6085218312,-3.0974708465,2.1054920924,16.0697242548,21.1231691364,41.2027783088,145.4490309774,129.9700000000,114.4909690226
59,119.4000,120.2600000000,122.3300000000,128.7450000000,123.9033567834,128.1772279447,-4.2738711613,-2.9415916972,-2.6645589282,1.9792156821,15.7009220145,20.7242149517,40.7942290237,143.4804640239,128.7450000000,114.0095359761
60,119.2000,119.8200000000,121.5700000000,127.5900000000,123.1797634321,127.5122480970,-4.3324846649,-3.2197702908,-2.2254287482,1.8886009515,15.4431601860,20.4469557114,40.5147665872,141.4922156508,127.5900000000,113.6877843492
