symbol	timeframe	provider	date_range	repo_path	source_type	source_csv	source_metadata	generator_entry	current_role	evidence_mode	note
300302.SZ	1d	Baostock	20240101-20240131	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/300302_SZ__1d__baostock__20240101_20240131.csv	formal_fetch	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/300302_SZ__1d__baostock__20240101_20240131.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/300302_SZ__1d__baostock__20240101_20240131__metadata.json	02_runtime/butler_r0_ohlcv_object_cards/baostock_daily_fetch_to_raw_v1.py	formal_online_input	hard	由当前终端通过 Baostock 正式拉取并自动写入 catalog，可直接供后续 runtime 引用
300302.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300302_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/300302_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300302.SZ	1d	Batch09_Legacy	20200102-20260513	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/watchlist_kline_1d/300302_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_watchlist/kline_1d/300302_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300488.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300488_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/300488_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300571.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300571_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/300571_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300632.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300632_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/300632_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300736.SZ	1d	Batch09_Legacy	20200102-20260513	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/watchlist_kline_1d/300736_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_watchlist/kline_1d/300736_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300745.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300745_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/300745_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300750.SZ	1d	Batch09_Legacy	20180611-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300750_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/300750_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
300769.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/300769_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/300769_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
301217.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/301217_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/301217_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
301319.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/301319_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/301319_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
301511.SZ	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/301511_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/301511_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
301666.SZ	1d	Batch09_Legacy	20260416-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/301666_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/301666_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
301666.SZ	1d	Batch09_Legacy	20260416-20260513	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/watchlist_kline_1d/301666_SZ_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_watchlist/kline_1d/301666_SZ_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
600130.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/600130_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/600130_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
600936.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/600936_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/600936_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
601991.SH	1d	Baostock	20240101-20240131	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/601991_SH__1d__baostock__20240101_20240131.csv	formal_fetch	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/601991_SH__1d__baostock__20240101_20240131.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/601991_SH__1d__baostock__20240101_20240131__metadata.json	02_runtime/butler_r0_ohlcv_object_cards/baostock_daily_fetch_to_raw_v1.py	formal_online_input	hard	由当前终端通过 Baostock 正式拉取并自动写入 catalog，可直接供后续 runtime 引用
601991.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/601991_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/601991_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
601991.SH	1d	Batch09_Legacy	20200102-20260513	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/watchlist_kline_1d/601991_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_watchlist/kline_1d/601991_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
603045.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603045_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/603045_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
603278.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603278_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/603278_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
603399.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603399_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/603399_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
603459.SH	1d	Batch09_Legacy	20260408-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603459_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/603459_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
603618.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603618_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/603618_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
603629.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603629_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/603629_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
603636.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603636_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/603636_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
603738.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603738_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/603738_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
603937.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/603937_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/603937_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
605006.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/605006_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/605006_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
688069.SH	1d	Batch09_Legacy	20240102-20260508	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/ashare_clean/688069_SH_1d.csv	historical_promote	00_assets/_raw_snapshot_batch09/ashare_clean/688069_SH_1d.csv	02_runtime/butler_r0_ohlcv_object_cards/data/raw/daily_ohlcv/batch09_promoted/batch09_promotion_map_v1.tsv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_daily_to_runtime_raw_v1.py	formal_historical_runtime_input	historical_recovered	由 batch09 原始快照归位提升；可作为 runtime 正式历史输入，但不冒充当前在线拉取
