req_id	object_id	group_name	field_name	field_role	required	source_anchor	acceptance_anchor	degrade_anchor	note
A_REQ_003	A_REQ_003_P0_R	optimizer	active_risk_aversion	optimizer_input	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	use_target_active_risk_proxy	风险厌恶
A_REQ_003	A_REQ_003_P0_R	optimizer	transaction_cost_bps	optimizer_input	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	use_default_bps	交易成本
A_REQ_003	A_REQ_003_P0_R	constraint	turnover_limit	constraint_input	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	use_default_turnover_cap	换手约束
A_REQ_003	A_REQ_003_P0_R	constraint	weight_lower_bound	constraint_input	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	default_0_if_long_only	下界
A_REQ_003	A_REQ_003_P0_R	constraint	weight_upper_bound	constraint_input	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	use_diversification_default	上界
A_REQ_003	A_REQ_003_P0_R	constraint	long_only_flag	constraint_input	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	default_true	是否只做多
A_REQ_003	A_REQ_003_P0_R	position	current_weight	position_input	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	use_0_if_new_name	当前权重
A_REQ_003	A_REQ_003_P0_R	position	target_weight	optimizer_output	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	abort_if_missing	目标权重
A_REQ_003	A_REQ_003_P0_R	risk_overlay	kelly_size_scalar	overlay_input	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	default_half_kelly	Kelly 缩放
A_REQ_003	A_REQ_003_P0_R	risk_overlay	vt_size_scalar	overlay_input	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	default_1_0	VolTarget 缩放
A_REQ_003	A_REQ_003_P0_R	risk_overlay	pq_position_max_size	overlay_input	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	default_0_3	周期上限
A_REQ_003	A_REQ_003_P0_R	final_output	final_size_scalar	fused_output	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	abort_if_le_0_05	最小融合标量
A_REQ_003	A_REQ_003_P0_R	final_output	portfolio_expected_active_return	final_output	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	empty_if_nonoptimizer_mode	预期超额收益
A_REQ_003	A_REQ_003_P0_R	final_output	portfolio_tracking_error	final_output	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	empty_if_nonbenchmark_mode	跟踪误差
A_REQ_003	A_REQ_003_P0_R	rebalance	rebalance_frequency	delivery_policy	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	default_monthly	再平衡频率
A_REQ_003	A_REQ_003_P0_R	rebalance	rebalance_trigger	delivery_policy	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	default_schedule	再平衡触发
A_REQ_003	A_REQ_003_P0_R	final_output	adjusted_position_weight	final_output	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	use_target_weight_if_scalar_missing	最终权重
A_REQ_003	A_REQ_003_P0_R	final_output	abort_reason	audit_output	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	empty_if_pass	中止原因
