paper_id	root_type	src_rel_under_root	source_path_before	suggested_dest_path	repo_staging_path_after	outside_refs_basename	outside_refs_fullpath	outside_files_sample_basename	outside_files_sample_fullpath	move_gate
A-011	BOOKDIR	量化资产配置 17份\风格轮动模型\如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\风格轮动模型\如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	0	0			MANUAL_CONFIRM_ONLY
A-012	BOOKDIR	量化资产配置 17份\行业基本面预测模型\行业基本面预测——在工程机械行业的实证.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在工程机械行业的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在工程机械行业的实证.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在工程机械行业的实证.pdf	0	0			MANUAL_CONFIRM_ONLY
A-013	BOOKDIR	量化资产配置 17份\行业基本面预测模型\行业基本面预测——在煤炭行业的实证.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在煤炭行业的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在煤炭行业的实证.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在煤炭行业的实证.pdf	0	0			MANUAL_CONFIRM_ONLY
A-014	BOOKDIR	量化资产配置 17份\行业基本面预测模型\行业基本面预测——在电力行业的实证.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在电力行业的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在电力行业的实证.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在电力行业的实证.pdf	0	0			MANUAL_CONFIRM_ONLY
A-015	BOOKDIR	量化资产配置 17份\行业基本面预测模型\行业基本面预测——在钢铁行业的实证.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在钢铁行业的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在钢铁行业的实证.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在钢铁行业的实证.pdf	0	0			MANUAL_CONFIRM_ONLY
A-016	BOOKDIR	量化资产配置 17份\行业轮动模型\衍生产品及量化组合管理策略介绍.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\衍生产品及量化组合管理策略介绍.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业轮动模型\衍生产品及量化组合管理策略介绍.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\衍生产品及量化组合管理策略介绍.pdf	0	0			MANUAL_CONFIRM_ONLY
S-001	BOOKDIR	量化选股 40份\多因子选股模型\A股全市场选股策略研究.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\A股全市场选股策略研究.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\A股全市场选股策略研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\多因子选股模型\A股全市场选股策略研究.pdf	0	0			MANUAL_CONFIRM_ONLY
S-002	BOOKDIR	量化选股 40份\财务指标选股研究系列\A股上市公司毛利率的均值回归及选股实证.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\财务指标选股研究系列\A股上市公司毛利率的均值回归及选股实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\财务指标选股研究系列\A股上市公司毛利率的均值回归及选股实证.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\财务指标选股研究系列\A股上市公司毛利率的均值回归及选股实证.pdf	0	0			MANUAL_CONFIRM_ONLY
S-004	BOOKDIR	量化选股 40份\选股因子研究系列\A股市场特征研究（二）——波段划分新方法及应用展望.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\A股市场特征研究（二）——波段划分新方法及应用展望.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\选股因子研究系列\A股市场特征研究（二）——波段划分新方法及应用展望.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\选股因子研究系列\A股市场特征研究（二）——波段划分新方法及应用展望.pdf	0	0			MANUAL_CONFIRM_ONLY
S-005	BOOKDIR	量化选股 40份\多因子选股模型\从极值角度进行选股因子有效性的确认——在换手率上的实证.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\从极值角度进行选股因子有效性的确认——在换手率上的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\从极值角度进行选股因子有效性的确认——在换手率上的实证.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\多因子选股模型\从极值角度进行选股因子有效性的确认——在换手率上的实证.pdf	0	0			MANUAL_CONFIRM_ONLY
S-006	BOOKDIR	量化选股 40份\分析师荐股能力评定与跟踪.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\分析师荐股能力评定与跟踪.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\分析师荐股能力评定与跟踪.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\分析师荐股能力评定与跟踪.pdf	0	0			MANUAL_CONFIRM_ONLY
S-007	BOOKDIR	量化选股 40份\多因子选股模型\高估值，你是否师出有名？.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\高估值，你是否师出有名？.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\高估值，你是否师出有名？.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\多因子选股模型\高估值，你是否师出有名？.pdf	0	0			MANUAL_CONFIRM_ONLY
S-008	BOOKDIR	量化选股 40份\选股因子研究系列\工欲善其事，必先利其器——选股因子深度解析.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\工欲善其事，必先利其器——选股因子深度解析.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\选股因子研究系列\工欲善其事，必先利其器——选股因子深度解析.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\选股因子研究系列\工欲善其事，必先利其器——选股因子深度解析.pdf	0	0			MANUAL_CONFIRM_ONLY
S-011	BOOKDIR	量化选股 40份\事件驱动策略系列\量化选股之事件驱动策略.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\量化选股之事件驱动策略.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\量化选股之事件驱动策略.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\量化选股之事件驱动策略.pdf	0	0			MANUAL_CONFIRM_ONLY
S-012	BOOKDIR	量化选股 40份\选股因子研究系列\如何捕捉短线反弹机会？.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\如何捕捉短线反弹机会？.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\选股因子研究系列\如何捕捉短线反弹机会？.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\选股因子研究系列\如何捕捉短线反弹机会？.pdf	0	0			MANUAL_CONFIRM_ONLY
S-013	BOOKDIR	量化选股 40份\多因子选股模型\商业贸易行业选股策略.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\商业贸易行业选股策略.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\商业贸易行业选股策略.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\多因子选股模型\商业贸易行业选股策略.pdf	0	0			MANUAL_CONFIRM_ONLY
S-014	BOOKDIR	量化选股 40份\财务指标选股研究系列\上市公司动量反转以及市值因子的选股识别度.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\财务指标选股研究系列\上市公司动量反转以及市值因子的选股识别度.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\财务指标选股研究系列\上市公司动量反转以及市值因子的选股识别度.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\财务指标选股研究系列\上市公司动量反转以及市值因子的选股识别度.pdf	0	0			MANUAL_CONFIRM_ONLY
S-015	BOOKDIR	量化选股 40份\财务指标选股研究系列\上市公司估值指标的稳定性与选股识别度.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\财务指标选股研究系列\上市公司估值指标的稳定性与选股识别度.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\财务指标选股研究系列\上市公司估值指标的稳定性与选股识别度.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\财务指标选股研究系列\上市公司估值指标的稳定性与选股识别度.pdf	0	0			MANUAL_CONFIRM_ONLY
S-016	BOOKDIR	量化选股 40份\事件驱动策略系列\事件驱动策略之一——业绩预告之一——把握扭亏、预减公告，获取短期超额收益.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之一——业绩预告之一——把握扭亏、预减公告，获取短期超额收益.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之一——业绩预告之一——把握扭亏、预减公告，获取短期超额收益.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之一——业绩预告之一——把握扭亏、预减公告，获取短期超额收益.pdf	0	0			MANUAL_CONFIRM_ONLY
S-017	BOOKDIR	量化选股 40份\事件驱动策略系列\事件驱动策略之二——关注主板预减快报后的短期反弹机会以及中小板盈利公告.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之二——关注主板预减快报后的短期反弹机会以及中小板盈利公告.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之二——关注主板预减快报后的短期反弹机会以及中小板盈利公告.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之二——关注主板预减快报后的短期反弹机会以及中小板盈利公告.pdf	0	0			MANUAL_CONFIRM_ONLY
S-018	BOOKDIR	量化选股 40份\事件驱动策略系列\事件驱动策略之三——指数样本股调整.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之三——指数样本股调整.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之三——指数样本股调整.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之三——指数样本股调整.pdf	0	0			MANUAL_CONFIRM_ONLY
S-019	BOOKDIR	量化选股 40份\事件驱动策略系列\事件驱动策略之四——ETF事件套利研究.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之四——ETF事件套利研究.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之四——ETF事件套利研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之四——ETF事件套利研究.pdf	0	0			MANUAL_CONFIRM_ONLY
S-020	BOOKDIR	量化选股 40份\事件驱动策略系列\事件驱动策略之五——大股东增减持——关注增持比例较大的事件机会.pdf	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之五——大股东增减持——关注增持比例较大的事件机会.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之五——大股东增减持——关注增持比例较大的事件机会.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之五——大股东增减持——关注增持比例较大的事件机会.pdf	0	0			MANUAL_CONFIRM_ONLY
