paper_id	title_anchor	token_type	token	match_file	line_no	line_text	fix_action	suggested_replacement
S-010	04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf	basename	海通选股因子系列研究21：分析师一致预期相关因子.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch3_topic_copy.py	21	"""S-010"": r""04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf"","	OPTIONAL_TOOL_REF	
S-037	04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	basename	海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	473	"海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	.pdf	542677	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-037	04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	fullpath	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	473	"海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	.pdf	542677	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-037	04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	basename	海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py	16	"""S-037"": r""04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf"","	OPTIONAL_TOOL_REF	
S-037	04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	basename	海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch4_topic_anchor.py	33	"""external_anchor_rel_path"": r""04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf"","	OPTIONAL_TOOL_REF	
S-037	04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	basename	海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch4_topic_anchor.py	34	"""repo_existing_staging_rel_path"": r""00_external_import_staging\confirmed_series\04_多因子\海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf"","	OPTIONAL_TOOL_REF	
S-038	04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	basename	海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	483	"海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	.pdf	1371199	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-038	04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	fullpath	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	483	"海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	.pdf	1371199	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-038	04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	basename	海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py	17	"""S-038"": r""04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf"","	OPTIONAL_TOOL_REF	
S-038	04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	basename	海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch3_topic_copy.py	17	"""S-003"": r""04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf"","	OPTIONAL_TOOL_REF	
S-039	04_多因子\海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	basename	海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	492	"海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	.pdf	497620	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-039	04_多因子\海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	fullpath	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	492	"海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	.pdf	497620	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-039	04_多因子\海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	basename	海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py	18	"""S-039"": r""04_多因子\海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf"","	OPTIONAL_TOOL_REF	
S-040	04_多因子\海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	basename	海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	502	"海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	.pdf	645413	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-040	04_多因子\海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	fullpath	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	502	"海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	.pdf	645413	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-040	04_多因子\海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	basename	海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py	19	"""S-040"": r""04_多因子\海通选股因子系列研究4：多因子选股模型的有效与失效.pdf"","	OPTIONAL_TOOL_REF	
S-041	04_多因子\海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	basename	海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	509	"海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	.pdf	1427174	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-041	04_多因子\海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	fullpath	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	509	"海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	.pdf	1427174	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-041	04_多因子\海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	basename	海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py	20	"""S-041"": r""04_多因子\海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf"","	OPTIONAL_TOOL_REF	
