paper_id	token_type	match_count	outside_group08_count	outside_group08_sample
S-025	basename	5	0	
S-025	fullpath	5	0	
S-026	basename	5	0	
S-026	fullpath	5	0	
S-027	basename	11	0	
S-027	fullpath	8	0	
S-028	basename	5	0	
S-028	fullpath	5	0	
S-029	basename	5	0	
S-029	fullpath	5	0	
S-030	basename	5	0	
S-030	fullpath	5	0	
S-031	basename	5	0	
S-031	fullpath	5	0	
S-032	basename	5	0	
S-032	fullpath	5	0	
S-033	basename	5	0	
S-033	fullpath	5	0	
S-034	basename	5	0	
S-034	fullpath	5	0	
S-035	basename	5	0	
S-035	fullpath	5	0	
S-036	basename	5	0	
S-036	fullpath	5	0	
S-037	basename	11	3	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch4_topic_anchor.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-037	fullpath	7	1	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-038	basename	8	3	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch3_topic_copy.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-038	fullpath	6	1	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-039	basename	7	2	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-039	fullpath	6	1	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-040	basename	7	2	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-040	fullpath	6	1	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-041	basename	8	2	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-041	fullpath	6	1	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
T-001	basename	5	0	
T-001	fullpath	5	0	
T-002	basename	5	0	
T-002	fullpath	5	0	
T-003	basename	5	0	
T-003	fullpath	5	0	
