paper_id	delete_prereq	action_recommendation	source_path_before	repo_staging_path_after	outside_refs_basename	outside_refs_fullpath	outside_files_sample_basename	outside_files_sample_fullpath
A-011	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\风格轮动模型\如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	0	0		
A-012	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在工程机械行业的实证.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在工程机械行业的实证.pdf	0	0		
A-013	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在煤炭行业的实证.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在煤炭行业的实证.pdf	0	0		
A-014	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在电力行业的实证.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在电力行业的实证.pdf	0	0		
A-015	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在钢铁行业的实证.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在钢铁行业的实证.pdf	0	0		
A-016	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\衍生产品及量化组合管理策略介绍.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化资产配置 17份\行业轮动模型\衍生产品及量化组合管理策略介绍.pdf	0	0		
S-001	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\A股全市场选股策略研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\多因子选股模型\A股全市场选股策略研究.pdf	0	0		
S-002	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\财务指标选股研究系列\A股上市公司毛利率的均值回归及选股实证.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\财务指标选股研究系列\A股上市公司毛利率的均值回归及选股实证.pdf	0	0		
S-003	check_repo_refs_then_delete_external_subset	DELETE_EXTERNAL_SUBSET_CANDIDATE	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_series\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	3	1	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch3_topic_copy.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-004	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\A股市场特征研究（二）——波段划分新方法及应用展望.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\选股因子研究系列\A股市场特征研究（二）——波段划分新方法及应用展望.pdf	0	0		
S-005	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\从极值角度进行选股因子有效性的确认——在换手率上的实证.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\多因子选股模型\从极值角度进行选股因子有效性的确认——在换手率上的实证.pdf	0	0		
S-006	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\分析师荐股能力评定与跟踪.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\分析师荐股能力评定与跟踪.pdf	0	0		
S-007	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\高估值，你是否师出有名？.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\多因子选股模型\高估值，你是否师出有名？.pdf	0	0		
S-008	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\工欲善其事，必先利其器——选股因子深度解析.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\选股因子研究系列\工欲善其事，必先利其器——选股因子深度解析.pdf	0	0		
S-009	check_repo_refs_then_delete_external_subset	DELETE_EXTERNAL_SUBSET_CANDIDATE	d:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_exact\04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	3	0	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch4_topic_anchor.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\Kimi拆书待入库_批次检查_v1.md | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	
S-010	check_repo_refs_then_delete_external_subset	DELETE_EXTERNAL_SUBSET_CANDIDATE	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_topic\04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf	2	1	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch3_topic_copy.py | 12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv
S-011	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\量化选股之事件驱动策略.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\量化选股之事件驱动策略.pdf	0	0		
S-012	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\如何捕捉短线反弹机会？.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\选股因子研究系列\如何捕捉短线反弹机会？.pdf	0	0		
S-013	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\商业贸易行业选股策略.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\多因子选股模型\商业贸易行业选股策略.pdf	0	0		
S-014	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\财务指标选股研究系列\上市公司动量反转以及市值因子的选股识别度.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\财务指标选股研究系列\上市公司动量反转以及市值因子的选股识别度.pdf	0	0		
S-015	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\财务指标选股研究系列\上市公司估值指标的稳定性与选股识别度.pdf	d:\Stock\trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\财务指标选股研究系列\上市公司估值指标的稳定性与选股识别度.pdf	0	0		
S-016	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之一——业绩预告之一——把握扭亏、预减公告，获取短期超额收益.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之一——业绩预告之一——把握扭亏、预减公告，获取短期超额收益.pdf	0	0		
S-017	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之二——关注主板预减快报后的短期反弹机会以及中小板盈利公告.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之二——关注主板预减快报后的短期反弹机会以及中小板盈利公告.pdf	0	0		
S-018	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之三——指数样本股调整.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之三——指数样本股调整.pdf	0	0		
S-019	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之四——ETF事件套利研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之四——ETF事件套利研究.pdf	0	0		
S-020	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之五——大股东增减持——关注增持比例较大的事件机会.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之五——大股东增减持——关注增持比例较大的事件机会.pdf	0	0		
S-021	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之六——规避预案陷阱，把握实施收益.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之六——规避预案陷阱，把握实施收益.pdf	0	0		
S-022	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之七——高送转行情下的事件性投资机会.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之七——高送转行情下的事件性投资机会.pdf	0	0		
S-023	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之九——股权激励续篇.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之九——股权激励续篇.pdf	0	0		
S-024	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之十一——事件驱动组合止损机制设计.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之十一——事件驱动组合止损机制设计.pdf	0	0		
S-025	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之十二——重要股东持股结构变化蕴含的信息分析.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之十二——重要股东持股结构变化蕴含的信息分析.pdf	0	0		
S-026	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之十三——定增事件投资——甄别市场，把握买点.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\事件驱动策略系列\事件驱动策略之十三——定增事件投资——甄别市场，把握买点.pdf	0	0		
S-027	check_repo_refs_then_move_not_delete	MOVE_READY_NOT_DELETE	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\现金流量市值比因子的极值效应.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\00_external_import_staging\confirmed_bookdir\量化选股 40份\选股因子研究系列\现金流量市值比因子的极值效应.pdf	0	0		
