symbol	timeframe	bar_date	fractal_type	bi_direction	zs_state	zs_zg	zs_zd	divergence_flag	bsd_type	stop_logic	note	source_mode	bi_start_date	bi_end_date	bi_start_price	bi_end_price	fractal_price
300302.SZ	1d	2024-12-06	top	up	active	16.5800	16.0300	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-12-05	2024-12-06	16.0300	16.5800	16.5800
300302.SZ	1d	2024-12-09	bottom	down	active	16.5800	16.0300	false	NONE		auto_structure_series_v1	auto_series	2024-12-06	2024-12-09	16.5800	15.9300	15.9300
300302.SZ	1d	2024-12-10	top	up	active	16.5800	16.0300	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-12-09	2024-12-10	15.9300	16.7800	16.7800
300302.SZ	1d	2024-12-11	bottom	down	active	16.5800	16.1700	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2024-12-10	2024-12-11	16.7800	16.1700	16.1700
300302.SZ	1d	2024-12-20	top	up	active	16.7800	16.1700	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2024-12-11	2024-12-20	16.1700	17.1500	17.1500
300302.SZ	1d	2025-01-06	bottom	down	active	16.7800	16.1700	false	NONE		auto_structure_series_v1	auto_series	2024-12-20	2025-01-06	17.1500	13.1300	13.1300
300302.SZ	1d	2025-01-20	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-01-06	2025-01-20	13.1300	15.0000	15.0000
300302.SZ	1d	2025-01-27	bottom	down	active	15.0000	13.7500	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-01-20	2025-01-27	15.0000	13.7500	13.7500
300302.SZ	1d	2025-02-17	top	up	active	15.0000	13.7500	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-01-27	2025-02-17	13.7500	17.9700	17.9700
300302.SZ	1d	2025-03-11	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-02-17	2025-03-11	17.9700	18.6700	18.6700
300302.SZ	1d	2025-03-12	top	up	inactive			false	NONE		auto_structure_series_v1	auto_series	2025-03-11	2025-03-12	18.6700	19.9700	19.9700
300302.SZ	1d	2025-03-14	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-03-12	2025-03-14	19.9700	17.8800	17.8800
300302.SZ	1d	2025-03-18	top	up	active	19.5000	18.6700	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-03-14	2025-03-18	17.8800	19.5000	19.5000
300302.SZ	1d	2025-03-31	bottom	down	active	19.5000	17.8800	false	NONE		auto_structure_series_v1	auto_series	2025-03-18	2025-03-31	19.5000	15.9600	15.9600
300302.SZ	1d	2025-04-01	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-03-31	2025-04-01	15.9600	16.8300	16.8300
300302.SZ	1d	2025-04-18	bottom	down	active	16.8300	15.9600	false	NONE		auto_structure_series_v1	auto_series	2025-04-01	2025-04-18	16.8300	13.9600	13.9600
300302.SZ	1d	2025-05-29	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-04-18	2025-05-29	13.9600	14.6500	14.6500
300302.SZ	1d	2025-07-02	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-05-29	2025-07-02	14.6500	15.3400	15.3400
300302.SZ	1d	2025-07-03	top	up	inactive			false	NONE		auto_structure_series_v1	auto_series	2025-07-02	2025-07-03	15.3400	15.8500	15.8500
300302.SZ	1d	2025-07-07	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-07-03	2025-07-07	15.8500	15.1300	15.1300
300302.SZ	1d	2025-07-08	top	up	active	15.7000	15.3400	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-07-07	2025-07-08	15.1300	15.7000	15.7000
300302.SZ	1d	2025-07-17	bottom	down	active	15.7000	15.1300	false	NONE		auto_structure_series_v1	auto_series	2025-07-08	2025-07-17	15.7000	14.8900	14.8900
300302.SZ	1d	2025-07-18	top	up	active	15.4000	15.1300	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-07-17	2025-07-18	14.8900	15.4000	15.4000
300302.SZ	1d	2025-07-24	bottom	down	active	15.4000	14.9200	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-07-18	2025-07-24	15.4000	14.9200	14.9200
300302.SZ	1d	2025-08-07	top	up	active	15.4000	14.9200	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-07-24	2025-08-07	14.9200	15.7500	15.7500
300302.SZ	1d	2025-08-08	bottom	down	active	15.4000	15.0800	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-08-07	2025-08-08	15.7500	15.0800	15.0800
300302.SZ	1d	2025-08-26	top	up	active	15.7500	15.0800	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-08-08	2025-08-26	15.0800	17.7400	17.7400
300302.SZ	1d	2025-08-28	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-08-26	2025-08-28	17.7400	16.1200	16.1200
300302.SZ	1d	2025-09-01	top	up	active	17.1200	16.1200	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-08-28	2025-09-01	16.1200	17.1200	17.1200
300302.SZ	1d	2025-10-15	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-09-01	2025-10-15	17.1200	19.6000	19.6000
300302.SZ	1d	2025-10-27	top	up	inactive			false	NONE		auto_structure_series_v1	auto_series	2025-10-15	2025-10-27	19.6000	23.5800	23.5800
300302.SZ	1d	2025-10-28	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-10-27	2025-10-28	23.5800	21.7400	21.7400
300302.SZ	1d	2025-11-13	top	up	active	23.5800	21.7400	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-10-28	2025-11-13	21.7400	25.8700	25.8700
300302.SZ	1d	2025-11-24	bottom	down	active	23.5800	21.7400	false	NONE		auto_structure_series_v1	auto_series	2025-11-13	2025-11-24	25.8700	18.3400	18.3400
300302.SZ	1d	2025-11-25	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-11-24	2025-11-25	18.3400	19.6500	19.6500
300302.SZ	1d	2025-11-26	bottom	down	active	19.6500	18.7200	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-11-25	2025-11-26	19.6500	18.7200	18.7200
300302.SZ	1d	2025-12-01	top	up	active	19.6500	18.7200	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-11-26	2025-12-01	18.7200	19.8000	19.8000
300302.SZ	1d	2025-12-04	bottom	down	active	19.6500	18.7200	false	NONE		auto_structure_series_v1	auto_series	2025-12-01	2025-12-04	19.8000	17.8800	17.8800
300302.SZ	1d	2025-12-26	top	up	active	19.0600	18.7200	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-12-04	2025-12-26	17.8800	19.0600	19.0600
300302.SZ	1d	2025-12-31	bottom	down	active	19.0600	17.9800	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2025-12-26	2025-12-31	19.0600	17.9800	17.9800
300302.SZ	1d	2026-01-07	top	up	active	19.0600	17.9800	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2025-12-31	2026-01-07	17.9800	20.8000	20.8000
300302.SZ	1d	2026-01-15	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2026-01-07	2026-01-15	20.8000	19.4600	19.4600
300302.SZ	1d	2026-01-23	top	up	active	20.8000	19.4600	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2026-01-15	2026-01-23	19.4600	22.2200	22.2200
300302.SZ	1d	2026-01-27	bottom	down	active	20.8000	20.5100	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2026-01-23	2026-01-27	22.2200	20.5100	20.5100
300302.SZ	1d	2026-02-09	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2026-01-27	2026-02-09	20.5100	19.0900	19.0900
300302.SZ	1d	2026-02-11	bottom	down	inactive			false	NONE		auto_structure_series_v1	auto_series	2026-02-09	2026-02-11	19.0900	18.2500	18.2500
300302.SZ	1d	2026-02-24	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2026-02-11	2026-02-24	18.2500	19.8900	19.8900
300302.SZ	1d	2026-03-04	bottom	down	active	19.0900	18.2500	false	NONE		auto_structure_series_v1	auto_series	2026-02-24	2026-03-04	19.8900	17.1800	17.1800
300302.SZ	1d	2026-03-19	top	up	active	19.8900	18.2500	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2026-03-04	2026-03-19	17.1800	28.3900	28.3900
300302.SZ	1d	2026-03-24	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2026-03-19	2026-03-24	28.3900	21.6200	21.6200
300302.SZ	1d	2026-03-25	top	up	active	23.4800	21.6200	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2026-03-24	2026-03-25	21.6200	23.4800	23.4800
300302.SZ	1d	2026-03-31	bottom	down	active	23.4800	21.6200	false	NONE		auto_structure_series_v1	auto_series	2026-03-25	2026-03-31	23.4800	19.7400	19.7400
300302.SZ	1d	2026-04-01	top	up	inactive			true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2026-03-31	2026-04-01	19.7400	21.1200	21.1200
300302.SZ	1d	2026-04-03	bottom	down	active	21.1200	19.7400	false	NONE		auto_structure_series_v1	auto_series	2026-04-01	2026-04-03	21.1200	18.6800	18.6800
300302.SZ	1d	2026-04-10	top	up	active	21.1200	19.7400	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2026-04-03	2026-04-10	18.6800	23.1000	23.1000
300302.SZ	1d	2026-04-13	bottom	down	inactive			true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2026-04-10	2026-04-13	23.1000	21.8500	21.8500
300302.SZ	1d	2026-04-14	top	up	active	23.1000	21.8500	true	1B	FRACTAL_BREAK	auto_structure_series_v1	auto_series	2026-04-13	2026-04-14	21.8500	23.5800	23.5800
300302.SZ	1d	2026-04-24	bottom	down	active	23.1000	22.5700	true	2B	PREV_SWING	auto_structure_series_v1	auto_series	2026-04-14	2026-04-24	23.5800	22.5700	22.5700
