item_id	rel_path	kind	source_role	status	note
M050	00_raw_snapshot/formula_export_samples/短线宝__副图__特色型.png	png	formula_editor_screenshot	active	短线宝公式编辑器截图样本
M051	00_raw_snapshot/formula_export_samples/短线宝__副图__特色型.txt	txt	formula_source_export	active	短线宝公式正文导出样本
M052	00_raw_snapshot/formula_export_samples/短线多空对比__副图__特色型.png	png	formula_editor_screenshot	active	短线多空对比公式编辑器截图样本
M053	00_raw_snapshot/formula_export_samples/短线多空对比__副图__特色型.txt	txt	formula_source_export	active	短线多空对比公式正文导出样本
M054	00_raw_snapshot/formula_export_samples/顶底__副图__特色型.png	png	formula_editor_screenshot	active	顶底公式编辑器截图样本
M055	00_raw_snapshot/formula_export_samples/顶底__副图__特色型.txt	txt	formula_source_export	active	顶底公式正文导出样本
M056	00_raw_snapshot/formula_export_samples/启动点__副图__特色型.png	png	formula_editor_screenshot	active	启动点公式编辑器截图样本
M057	00_raw_snapshot/formula_export_samples/启动点__副图__特色型.txt	txt	formula_source_export	active	启动点公式正文导出样本
M058	00_raw_snapshot/formula_export_samples/短中操盘系统__主图叠加__其他系.txt	txt	formula_source_export	active	短中操盘系统公式正文导出样本
M059	00_raw_snapshot/formula_export_samples/HYDB行业对比__主图叠加__系统公式.txt	txt	formula_source_export	active	HYDB行业对比公式正文导出样本
M060	00_raw_snapshot/formula_export_samples/ZSDB指数对比__主图叠加__系统公式.txt	txt	formula_source_export	active	ZSDB指数对比公式正文导出样本
M061	00_raw_snapshot/formula_export_samples/SG-PF强势股评分__副图__系统公式.txt	txt	formula_source_export	active	SG-PF强势股评分公式正文导出样本
M062	00_raw_snapshot/formula_export_samples/打板资金__副图__系统公式.txt	txt	formula_source_export	active	打板资金公式正文导出样本
M063	00_raw_snapshot/formula_export_samples/沪深涨跌停__副图__系统公式.txt	txt	formula_source_export	active	沪深涨跌停公式正文导出样本
M064	00_raw_snapshot/formula_export_samples/上榜资金__副图__系统公式.txt	txt	formula_source_export	active	上榜资金公式正文导出样本
M065	00_raw_snapshot/formula_export_samples/大宗交易__副图__系统公式.txt	txt	formula_source_export	active	大宗交易公式正文导出样本
M066	02_absorb_index/tdx_custom_terminal_formula_to_investment_cockpit_mapping_v1.md	md	formula_product_mapping	active	终端公式样本到我方提醒解释记录回看闭环的首轮映射页
M067	03_quantize/README.md	md	quantize_entry	active	对象卡与字段桥入口
M068	03_quantize/batch149_formula_semantics_to_batch1_field_bridge_v1.md	md	field_bridge	active	公式输出语义到 Batch1 EventSummary/ExplanationPayload 的极短字段桥
M069	03_quantize/batch149_object_card_沪深涨跌停__20260720.md	md	object_card	active	沪深涨跌停对象卡
M070	03_quantize/batch149_object_card_打板资金__20260720.md	md	object_card	active	打板资金对象卡
M071	03_quantize/batch149_object_card_上榜资金__20260720.md	md	object_card	active	上榜资金对象卡
M072	03_quantize/batch149_object_card_HYDB行业对比__20260720.md	md	object_card	active	HYDB行业对比对象卡
M073	03_quantize/batch149_object_card_ZSDB指数对比__20260720.md	md	object_card	active	ZSDB指数对比对象卡
M074	03_quantize/batch149_object_card_启动点__20260720.md	md	object_card	active	启动点对象卡
M075	03_quantize/batch149_six_card_event_field_bundle_v1.md	md	field_bundle	active	六张核心对象卡压缩后的 Batch1 事件字段总表
M076	03_quantize/batch149_page_to_six_card_crossmap_v1.md	md	page_field_crossmap	active	页面层到六张核心对象卡再到 Batch1 事件字段总表的细映射总表
