room_anchor	latest_time_text	latest_date_badge	content_form_hint	notification_hint	latest_preview_text	review_bucket	review_notes
七龙珠	07/31 14:58	2027/01/19	text_primary_candidate		七龙珠 2027/01/19 朱平 2026-07-31 14:58:00 量化是真该管管了。。。。 ID：100039 07/31 14:58		
格兰投研	07/31 14:41	2027/01/19	text_primary_candidate		格兰投研 2027/01/19 #格兰投研#：这事儿急不得 现在是空头回补和超跌修复 有机会就T一T降降本2026-07-31 14:39:53 貔貅#四期尾生）:海光、中芯啥时能发个力啊，浪费了今天的大反弹了?? 防止失联QQ群859780254 07/31 14:41		
周期女王（新一期，重新搞的）	07/31 14:41	2027/01/19	text_primary_candidate		周期女王（新一期，重新搞的） 2027/01/19 买入工商银行(601398),成交价7.96元,仓位从0%调到9.99%(调仓涉及具体证券存在潜在投资风险,投资顾问所示操作不保证投资收益.请自主做出投资决策,独立承担投资风险) 阿轩组合 07/31 14:41		
混江龙	07/31 14:35	2027/01/19	text_primary_candidate		混江龙 2027/01/19 藏龙岛:我觉得你这个想法很清奇啊.AA产业爆发.对高端人才的需求很大.但是这种人才是没办法培训出来的。。。 --------------------------- 2026-07-31 12:01:03 上岸的鱼儿:龙哥.有个问题.创智教育走到现在是因为业绩扭亏的独立逻辑还是市场看中它的AA人工智能培训的逻辑.在传智教育走强的同时创业黑马也在走强.这两个短期都翻倍了.也都是做AA人工智能培训相关的；今天人工智能大模型爆发.从现实生活来.AA产业爆发.这方面的人才也是短缺的.会催生大量的培训需求.后续是不是能高看一眼 07/31 14:35		
天机短线试更新	07/31 14:30	2027/01/19	text_primary_candidate		天机短线试更新 2027/01/19 李聪 2026-07-31 14:30:12 中、易.昨天、今天.底部放的几乎是历史天量。 07/31 14:30		
顺势而为（借势）众筹中	07/31 14:24	2027/01/19	text_primary_candidate		顺势而为（借势）众筹中 2027/01/19 #成员#说： 浪潮软件喜欢吗，盯了好些天了 07/31 14:24		
孙悟空金牌	07/31 14:23	2027/01/19	text_primary_candidate		孙悟空金牌 2027/01/19 投研圈保险、银行！都开始拉了 07/31 14:23		
核心逻辑社一期26.8.15	07/31 14:19	2027/01/19	text_primary_candidate		核心逻辑社一期26.8.15 2027/01/19 棒古指数大涨18cm，蛙古指数大涨8cm，纳指期货指数又大涨近400点。 大A醒醒吧，王王队醒醒吧，尾盘拉一波！！！ 07/31 14:19		
k神	07/31 14:13	2027/01/19	text_primary_candidate		k神 2027/01/19 情绪铆钉k神 科技被砸的好惨.冲进去就是大面.还好没冲动啊.你们千万不要小看了大A的威力.这里面的机器人分分钟可以让你老实的！ 07/31 14:13		
游资胖大叔（到期）	07/31 13:54	2027/01/19	text_primary_candidate		游资胖大叔（到期） 2027/01/19 长鑫、中际、江波龙这些都是假阴线！如果今日晚上美古费城半导体指数冲高回落！硬件端就可能二次回落 07/31 13:54		
上海老梁 新一期	07/31 13:49	2027/01/19	text_primary_candidate		上海老梁 新一期 2027/01/19 ..付费微博..上证指数.中轴有阻力.下图，， 07/31 13:49		
新生代	07/31 13:39	2027/01/19	text_primary_candidate		新生代 2027/01/19 因为很多股票腰斩了很便宜.而且很多都是细分龙头.并没有谁比谁差一说.所以反弹初期是轮涨性质的.不会很聚焦的 这就是为什么前几天先画好图的风华高科被砸了.昨天拉板启动节点很完美的德明利也被砸了。 今天整体是高开低走.所以今天无论买什么短线确定性都不高。 不妨等周一要么绿盘急跌考验.要么反包.给了相对清晰的答案之后.再考虑买什么。 防止失联QQ群859780254 07/31 13:39		
独家竞价低吸一号（官网打不开网页）	07/31 11:07	2027/01/19	text_primary_candidate		独家竞价低吸一号（官网打不开网页） 2027/01/19 大科技这次外围这么大的利好带不上去的话.后续修复难度更大了 07/31 11:07		
龙头交易猿	07/31 10:45	2027/01/19	text_primary_candidate		龙头交易猿 2027/01/19 陈子瞻 10:45:22 科技细分轮动，细分AI应用轮涨， AI硬件高开低走看午后情况能否转一致了， 稳健无开新的观望等下周，关键锚点外围是否确立走震荡反弹波段，还是今晚美gu反杀 整体还是轮动混沌为主，太一致开的都不急。 稳健医疗-0.87% 07/31 10:45		
擒龙小师姐	07/31 10:26	2027/01/19	text_primary_candidate		擒龙小师姐 2027/01/19 李娟今日这么大的利好大科技目前的表现还是有点不及预期啊看来大科技调整了这么久很多人都对大科技没信心了啊难怪！今日情绪还是这么坚挺老登也都低开高走看来大科技还是伤人太深了很多人冲高解套就走了导致抛压还是较大ID:100039 07/31 10:26		
小作文嗅嗅+机构研报	07/31 23:27	2027/01/19	text_primary_candidate		小作文嗅嗅+机构研报 2027/01/19 #大猫嗅嗅信息#海力士专家调研.docx:https://pic.guhai888.cn/down.php/850d948111c289e82e51b746f55a4ad4.docx 07/31 23:27		
大将潘凤（加盘面逻辑，新一期，试更新，看实力）	07/31 18:57	2027/01/19	text_primary_candidate		大将潘凤（加盘面逻辑，新一期，试更新，看实力） 2027/01/19 把接盘的人当傻逼 07/31 18:57		
招财大师姐（试更新）	07/31 15:14	2027/01/19	text_primary_candidate		招财大师姐（试更新） 2027/01/19 王爽师姐测试 07/31 15:14		
将军段（清明节后试更新）	07/31 15:04	2027/01/19	text_primary_candidate		将军段（清明节后试更新） 2027/01/19 群主好了！今日就到这里！行情非常稳定！硬件回落不过软件保持强势！等待下周的持续性！我们下周再见！祝大家周末愉快以上内容仅供参考！不做为买卖指导！据此操作风险自担6az 07/31 15:04		
老鱼论道新一期	07/31 14:59	2027/01/19	text_primary_candidate		老鱼论道新一期 2027/01/19 硬件今天这个实体阴线啊.把抛压线压的更低了.后面只要高开.兑现会更厉害 07/31 14:59		
暴金一哥	07/31 14:59	2027/01/19	text_primary_candidate		暴金一哥 2027/01/19 #群主#哈药1，立新2，顺钠1，华天1回复@aelody：哈药2#加仓），立新3#加仓），顺钠1.5，华天1#新开） 07/31 14:59		
听妈妈的话	07/31 14:51	2027/01/19	text_primary_candidate		听妈妈的话 2027/01/19 2026-07-31 14:51:25 07/31 14:51		
奶爸（买了一期，看实力）	07/31 14:41	2027/01/19	text_primary_candidate		奶爸（买了一期，看实力） 2027/01/19 ？ 阿邦 14:41:35 好象这科技古压力越来越重了 ------ 回复@进哥哥69de12e03e601：早盘追高半导体的，又套一波，真的是，不坑死坚守科技的，就起不了势 07/31 14:41		
猎豹	07/31 14:41	2027/01/19	text_primary_candidate		猎豹 2027/01/19 ？ 丁文杰 14:41:19 然后尾盘捡点带血筹码刚好 ----------------- 回复 @藏剑阁鱼泡泡：冲科技的全死了 07/31 14:41		
银河投递员	07/31 14:40	2027/01/19	text_primary_candidate		银河投递员 2027/01/19 银河 风华+0.5 07/31 14:40		
缠中说缠	07/31 14:33	2027/01/19	text_primary_candidate		缠中说缠 2027/01/19 缠中学禅:那我更不知道了2026-07-31 14:33:00 不忘初心569:不是的老师、是银行里的场外基金 07/31 14:33		
天赢居	07/31 14:31	2027/01/19	text_primary_candidate		天赢居 2027/01/19 `#天赢居# 今天就是加仓庆祝七月大暴雨结束 ,等8月5日或者8月7日迎接主升浪 防止失联QQ群859780254 07/31 14:31		
妖股刺客	07/31 14:29	2027/01/19	text_primary_candidate		妖股刺客 2027/01/19 ？ 妖古刺客 14:29:04 再减一下兆易吧 07/31 14:29		
投星资产（虽然没有多少参考价值，清明节开始下一期更新）	07/31 14:20	2027/01/19	text_primary_candidate		投星资产（虽然没有多少参考价值，清明节开始下一期更新） 2027/01/19 归功于量化收割集团，大A真他妈触犯天条。 股灾比棒子跌的还多，反弹连棒子零头不如。 07/31 14:20		
洛飞笔记（新一期开始）	07/31 14:15	2027/01/19	text_primary_candidate		洛飞笔记（新一期开始） 2027/01/19 平安喜乐 14:15:45 07/31 14:15		
梦幻一步（试着更新，看参考价值）	07/31 14:15	2027/01/19	text_primary_candidate		梦幻一步（试着更新，看参考价值） 2027/01/19 指数高开太多了.尾磐为什么好看的！ 07/31 14:15		
独家一号（超短线）	07/31 14:13	2027/01/19	text_primary_candidate		独家一号（超短线） 2027/01/19 群主: 长鑫我买回1层 07/31 14:13		
鑫多多新	07/31 13:45	2027/01/19	text_primary_candidate		鑫多多新 2027/01/19 鑫密多米： --------众多资深老古民深度剖析：鑫多多主动举牌背后藏着什么信号￥ 防止失联QQ群859780254 07/31 13:45		
只爱主波浪	07/31 13:29	2027/01/19	text_primary_candidate		只爱主波浪 2027/01/19 不来也不去慢慢回暖！慢慢蓄力！慢慢爆发！ 07/31 13:29		
姆爷	07/31 13:25	2027/01/19	text_primary_candidate		姆爷 2027/01/19 进了长光华芯10%，联特5% 07/31 13:25		
红旗大街发哥	07/31 11:05	2027/01/19	text_primary_candidate		红旗大街发哥 2027/01/19 #讲师# 李柏宏 09:39 再去一层588200 防止失联QQ群859780254 防止失联QQ群859780254 07/31 11:05		
梦辰君	07/31 11:01	2027/01/19	text_primary_candidate		梦辰君 2027/01/19 修心见道 2个换手都不错的 07/31 11:01		
七福潜伏低吸	07/31 10:52	2027/01/19	text_primary_candidate		七福潜伏低吸 2027/01/19 配置2层即可 07/31 10:52		
小锦鲤	07/31 10:40	2027/01/19	text_primary_candidate		小锦鲤 2027/01/19 小锦 今天共振走出来的是软件，开盘吸五洲去了没来得及追，有长鹰也够了，后面还是会抱团他的。 反向的就是五洲龙神这种，正向抱团反向抱团咱们两手都抓 07/31 10:40		
北伐创业（林尚沃）（试更新一期一个月）26.7.15	07/31 10:26	2027/01/19	text_primary_candidate		北伐创业（林尚沃）（试更新一期一个月）26.7.15 2027/01/19 普冉+1 07/31 10:26		
潜伏王者（老师本人据反馈由于急症还在住院）	07/31 10:23	2027/01/19	text_primary_candidate		潜伏王者（老师本人据反馈由于急症还在住院） 2027/01/19 ？ 天哥520 10:23:53 德明利开板.兆易创新开板.风华高科高开低走.科技左侧开得高.兑现也有.所以今天是内部卖点.还不是外部的买点 07/31 10:23		
wu2198	07/31 10:12	2027/01/19	text_primary_candidate		wu2198 2027/01/19 仅AA的真爱粉可见 对于大盘指数前面给大家分析了.二次反击点在3786附近.昨日试了3767.50点；那么在前面#3745.3741.3743）三针探底的基础上.将3741和3767连线暂时看成是反弹的支撑.万一破3740就止损......收复3886之后#白线）反弹行情才明朗。 提前给大家分析.不辜负大家的支持。谢谢！ 07/31 10:12		
彭彧（星球）	07/31 09:46	2027/01/19	text_primary_candidate		彭彧（星球） 2027/01/19 ID:100430承接也还蛮好 07/31 09:46		
炒家信条抄底大师	07/31 09:36	2027/01/19	text_primary_candidate		炒家信条抄底大师 2027/01/19 #大A投机# 哈药 准备离场吧 07/31 09:36		
价值十一年新一期（基金）	07/31 09:23	2027/01/19	text_primary_candidate		价值十一年新一期（基金） 2027/01/19 昨天吸科技的时候.特意公开提了一个±20％的标准 因为现在科技行情很极端.±10％弹性都已经不能满足.比如你买的+10％涨停了.人家±20％的还可以涨.人家-10％卖不出去.你±20％不卡流动性 昨天吸的科技etf.今天卖出观察点.其持仓+20％个股能否持续封死涨停.如果不能.大概率昨天下午买的标.今天能超+10％以上大涨.今天就卖了.隔夜A.不长情 我的观点.都是操作前发出来.权当与大家交流.不作为你的操作依据 07/31 09:23		
老师vip文章合集（就是盘前合集）	07/31 08:15	2027/01/19	text_primary_candidate		老师vip文章合集（就是盘前合集） 2027/01/19 7.31深度复盘.docx:https://pic.guhai888.cn/down.php/99ef1679ba1cc9da12908e12e5cf9aee.docx 07/31 08:15		
可转债小王子	07/30 14:22	2027/01/19	text_primary_candidate		可转债小王子 2027/01/19 转债小王子1今日科技反弹鼎龙反弹的最好 07/30 14:22		
猫哥竞价	07/30 10:38	2027/01/19	text_primary_candidate		猫哥竞价 2027/01/19 今日带兄弟们空仓也是稳稳的幸福！指数都这样了又叠加月底效应！明日再看看有无符合模式的票吧ID:100039 07/30 10:38		
帝王通知群（务必把这个群置顶）	07/28 14:25		text_primary_candidate		帝王通知群（务必把这个群置顶） 建议都看一下自己到期的时间，目前微信和qq等都被禁言了，发现有冒充我的，请注意甄别，不要被骗了！通过淘宝续费，下面是我的淘宝链接网址（把下面的网址直接复制粘贴到淘宝搜索栏即可找到我）： https://item.taobao.com/item.htm?ft=t&id=1032811371476 07/28 14:25		
（这个老师暂时没有）laoduo	07/28 13:36	2027/01/19	text_primary_candidate		（这个老师暂时没有）laoduo 2027/01/19 #laoduo#：昨天大反弹和今天大跌，国内的公司有任何变化吗？没有的，都是情绪交易。 07/28 13:36		
大赢家（一期26.7.15）	07/27 14:50	2027/01/19	text_primary_candidate		大赢家（一期26.7.15） 2027/01/19 韩国、日本都稳住了 这周科技是有机会反弹的，看看周二周三吧。大盘弱转强的关键，在于是否突破上周的高点3884点。深圳市珞珈投资咨询有限公司 咨询证号 ZX0077 严卫锦 A0790623110001 风险提示：古市有风险，投资需谨慎，历史战绩不代表未来，上述内容仅供参考，不作为投资建议，据此操作，风险自担！ 连系地址：深圳市福田区华富街道梅岗社区笋岗西路3004号银华大厦9A01、9C03、11A01 咨询电话：0755-25880000 连系人：李玲 07/27 14:50		
老樊研究院（到期，等下一期）	07/27 13:59	2027/01/19	text_primary_candidate		老樊研究院（到期，等下一期） 2027/01/19 “唯产品论”研究院:静态止损，是你持仓成本为基数，测算跌幅超过12%；如果是动态止损，则是跌穿中期均线组的，和持仓成本没有关联。2026-07-26 15:12:21 抉择#袋鼠）:老樊 仓位管理一课当中有一个叫静态止损的方法12%，这个12％是我们建仓成本价跌12%还是中期均线跌12%？ 07/27 13:59		
（震哥会员群 不建议关注，都是会员发言，信息量比较大）震哥	07/27 10:36	2027/01/19	text_primary_candidate		（震哥会员群 不建议关注，都是会员发言，信息量比较大）震哥 2027/01/19 3：盘中看长鑫能不能破开盘价49.88 07/27 10:36		
龙牛居（主板风云）	07/22 09:29	2027/01/19	image_heavy_candidate		龙牛居（主板风云） 2027/01/19 [图片] 07/22 09:29		
伊万淘金	07/05 22:15	2027/01/19	image_heavy_candidate		伊万淘金 2027/01/19 [图片] 07/05 22:15		
主升龙头真经（到期暂时停）	06/26 14:59	2027/01/19	text_primary_candidate		主升龙头真经（到期暂时停） 2027/01/19 尾盘风险提示 今天早晨刚开盘，9:35在水下国瓷材料踩出站稳，分时图黄色均价线的v字形成接力结构，直播间也提示了这个位置符合模式的建议水下做t点可以说是非常经典的一个教学案例，大家可以打开分时反复的回味 截止14:55去看，凡是临近收盘跌破5日均线的，建议全部取消关注，包括但不限于华特气体，瑞泰华。 中午收盘前提示的半路抢筹盘口康强电子下午如期涨停，半路抢筹盘口，如果你想博弈下午的品种，务必选择在下午13:30之前出现涨停的品种，建议打板关注，不建议考虑超过13:30的涨停，更不建议半路博弈，因为只有涨停板上同步确认主力加仓性价比，安全度才有望概率增大。 今天在如此惨烈的情况下，大盘收了一个跌2%左右的大阴线，两市4300多家下跌，31个跌停 潜伏型套利波段模式柏诚股份股份 竞价抢筹盘口建议打板加仓的广和科技 上午直播快结束时直播间分享的，下午潜在半路抢筹盘口建议打板关注的康强电子 早盘10点前建议半路抢筹盘口，符合打板关注的凯盛科技走势强劲 美埃科技，洪田股份，江钨装备，长川科技，国瓷材料，中国巨石，百合花都给了不同程度的中阳线的强劲表态。 还要啥自行车？ 希望大家能体会得到，大盘下跌对于真正的强势股几乎没影响，看看德龙激光，看看柏诚股份，看看广和科技，看看凯盛科技，看看宏田股份，国瓷材料，中国巨石，宏和科技，越弱越抱团儿，今天去弱留强，所有走弱的品种及时撤离。 凡是跌破5日均线的，收盘前全部建议取消关注。 - 风险提示：本文提及的个股仅作为交易模式案例分析，不构成任何投资建议;决策前应结合自身情况审慎判断独立决策；过往的业绩表现不代表未来的收益和投资目标。历史数据仅供参考，不构成投资决策的依据，据此操作，风险自担，投资有风险，入市需谨慎。 黑龙江省容维证券数据程序化有限公司戈锐 执业编号：A0210625120032审核编号:81059 06/26 14:59		
清北游资	06/18 09:34	2027/01/19	text_primary_candidate		清北游资 2027/01/19 【清北官方】 清北官方：中京电子：加自选 06/18 09:34		
诗和远方	06/08 13:31	2027/01/19	text_primary_candidate		诗和远方 2027/01/19 三支涨停 06/08 13:31		
邢者2	04/20 10:48	2027/01/19	text_primary_candidate		邢者2 2027/01/19 个人感觉 不一定对 就一个思考： 现在美伊双方.叫的这么大声且反复.过几天估计还是会达成协议.然后停了（慢慢下台阶）。但真停的时候.就是市场阶段一个高点.利好兑现.抖动调整的概率就会加大.且全球一起的。 现在的预期都是往好的方向去.就是无论美伊你俩怎么BB（就算再打一下.预期也是会快速结束。）和平进程 是这么多国家一起推动的.有惯性.而且 美伊 也想找台阶下（只是逐步的下台阶）最多在喊凶一点.或者 最后打一波然后撤。趋势是既定的。都不想陷在里面。 一般是不容易失败的 无非是过程中 喊凶一点 反复几次 谈判筹码而已。 但市场的韧性.全球都在提前反馈.一旦真谈成了.反而阶段就开始修正了（会开始反手）。没彻底谈成前.市场反而缓慢在迂回上行的趋势里。但连阳 越高.届时抖起来.就会越猛.会有一次宣泄（需要一点时间周期跨度）然后再往上。 04/20 10:48		
备用15		2027/01/19	text_primary_candidate		备用15 2027/01/19 ㅤ NaN秒后NaN秒后		
备用37		2027/01/19	text_primary_candidate		备用37 2027/01/19 ㅤ NaN秒后NaN秒后		
备用16		2027/01/19	text_primary_candidate		备用16 2027/01/19 ㅤ NaN秒后NaN秒后		
备用42		2027/01/19	text_primary_candidate		备用42 2027/01/19 ㅤ NaN秒后NaN秒后		
备用17		2027/01/19	text_primary_candidate		备用17 2027/01/19 ㅤ NaN秒后NaN秒后		
备用39		2027/01/19	text_primary_candidate		备用39 2027/01/19 ㅤ NaN秒后NaN秒后		
备用38		2027/01/19	text_primary_candidate		备用38 2027/01/19 ㅤ NaN秒后NaN秒后		
备用28		2027/01/19	text_primary_candidate		备用28 2027/01/19 ㅤ NaN秒后NaN秒后		
备用20		2027/01/19	text_primary_candidate		备用20 2027/01/19 ㅤ NaN秒后NaN秒后		
备用19		2027/01/19	text_primary_candidate		备用19 2027/01/19 ㅤ NaN秒后NaN秒后		
备用2		2027/01/19	text_primary_candidate		备用2 2027/01/19 ㅤ NaN秒后NaN秒后		
备用23		2027/01/19	text_primary_candidate		备用23 2027/01/19 ㅤ NaN秒后NaN秒后		
备用25		2027/01/19	text_primary_candidate		备用25 2027/01/19 ㅤ NaN秒后NaN秒后		
备用26		2027/01/19	text_primary_candidate		备用26 2027/01/19 ㅤ NaN秒后NaN秒后		
备用27		2027/01/19	text_primary_candidate		备用27 2027/01/19 ㅤ NaN秒后NaN秒后		
备用21		2027/01/19	text_primary_candidate		备用21 2027/01/19 ㅤ NaN秒后NaN秒后		
备用18		2027/01/19	text_primary_candidate		备用18 2027/01/19 ㅤ NaN秒后NaN秒后		
备用30		2027/01/19	text_primary_candidate		备用30 2027/01/19 ㅤ NaN秒后NaN秒后		
备用31		2027/01/19	text_primary_candidate		备用31 2027/01/19 ㅤ NaN秒后NaN秒后		
备用32		2027/01/19	text_primary_candidate		备用32 2027/01/19 ㅤ NaN秒后NaN秒后		
备用33		2027/01/19	text_primary_candidate		备用33 2027/01/19 ㅤ NaN秒后NaN秒后		
备用34		2027/01/19	text_primary_candidate		备用34 2027/01/19 ㅤ NaN秒后NaN秒后		
备用35		2027/01/19	text_primary_candidate		备用35 2027/01/19 ㅤ NaN秒后NaN秒后		
备用36		2027/01/19	text_primary_candidate		备用36 2027/01/19 ㅤ NaN秒后NaN秒后		
备用44		2027/01/19	text_primary_candidate	99|cu-tag round sm radius badge bg-grey	备用44 2027/01/19 ㅤ		
