"room_anchor","latest_time_text","content_form_hint","latest_preview_text"
"k神","07/31 14:13","text_primary_candidate","k神 2027/01/19 情绪铆钉k神 科技被砸的好惨.冲进去就是大面.还好没冲动啊.你们千万不要小看了大A的威力.这里面的机器人分分钟可以让你老实的！ 07/31 14:13"
"上海老梁 新一期","07/31 13:49","text_primary_candidate","上海老梁 新一期 2027/01/19 ..付费微博..上证指数.中轴有阻力.下图，， 07/31 13:49"
"新生代","07/31 13:39","text_primary_candidate","新生代 2027/01/19 因为很多股票腰斩了很便宜.而且很多都是细分龙头.并没有谁比谁差一说.所以反弹初期是轮涨性质的.不会很聚焦的 这就是为什么前几天先画好图的风华高科被砸了.昨天拉板启动节点很完美的德明利也被砸了。 今天整体是高开低走.所以今天无论买什么短线确定性都不高。 不妨等周一要么绿盘急跌考验.要么反包.给了相对清晰的答案之后.再考虑买什么。 防止失联QQ群859780254 07/31 13:39"
"龙头交易猿","07/31 10:45","text_primary_candidate","龙头交易猿 2027/01/19 陈子瞻 10:45:22 科技细分轮动，细分AI应用轮涨， AI硬件高开低走看午后情况能否转一致了， 稳健无开新的观望等下周，关键锚点外围是否确立走震荡反弹波段，还是今晚美gu反杀 整体还是轮动混沌为主，太一致开的都不急。 稳健医疗-0.87% 07/31 10:45"
"擒龙小师姐","07/31 10:26","text_primary_candidate","擒龙小师姐 2027/01/19 李娟今日这么大的利好大科技目前的表现还是有点不及预期啊看来大科技调整了这么久很多人都对大科技没信心了啊难怪！今日情绪还是这么坚挺老登也都低开高走看来大科技还是伤人太深了很多人冲高解套就走了导致抛压还是较大ID:100039 07/31 10:26"
"小作文嗅嗅+机构研报","07/31 23:27","text_primary_candidate","小作文嗅嗅+机构研报 2027/01/19 #大猫嗅嗅信息#海力士专家调研.docx:https://pic.guhai888.cn/down.php/850d948111c289e82e51b746f55a4ad4.docx 07/31 23:27"
"老鱼论道新一期","07/31 14:59","text_primary_candidate","老鱼论道新一期 2027/01/19 硬件今天这个实体阴线啊.把抛压线压的更低了.后面只要高开.兑现会更厉害 07/31 14:59"
"暴金一哥","07/31 14:59","text_primary_candidate","暴金一哥 2027/01/19 #群主#哈药1，立新2，顺钠1，华天1回复@aelody：哈药2#加仓），立新3#加仓），顺钠1.5，华天1#新开） 07/31 14:59"
"听妈妈的话","07/31 14:51","text_primary_candidate","听妈妈的话 2027/01/19 2026-07-31 14:51:25 07/31 14:51"
"奶爸（买了一期，看实力）","07/31 14:41","text_primary_candidate","奶爸（买了一期，看实力） 2027/01/19 ？ 阿邦 14:41:35 好象这科技古压力越来越重了 ------ 回复@进哥哥69de12e03e601：早盘追高半导体的，又套一波，真的是，不坑死坚守科技的，就起不了势 07/31 14:41"
"猎豹","07/31 14:41","text_primary_candidate","猎豹 2027/01/19 ？ 丁文杰 14:41:19 然后尾盘捡点带血筹码刚好 ----------------- 回复 @藏剑阁鱼泡泡：冲科技的全死了 07/31 14:41"
"银河投递员","07/31 14:40","text_primary_candidate","银河投递员 2027/01/19 银河 风华+0.5 07/31 14:40"
"缠中说缠","07/31 14:33","text_primary_candidate","缠中说缠 2027/01/19 缠中学禅:那我更不知道了2026-07-31 14:33:00 不忘初心569:不是的老师、是银行里的场外基金 07/31 14:33"
"天赢居","07/31 14:31","text_primary_candidate","天赢居 2027/01/19 `#天赢居# 今天就是加仓庆祝七月大暴雨结束 ,等8月5日或者8月7日迎接主升浪 防止失联QQ群859780254 07/31 14:31"
"妖股刺客","07/31 14:29","text_primary_candidate","妖股刺客 2027/01/19 ？ 妖古刺客 14:29:04 再减一下兆易吧 07/31 14:29"
"投星资产（虽然没有多少参考价值，清明节开始下一期更新）","07/31 14:20","text_primary_candidate","投星资产（虽然没有多少参考价值，清明节开始下一期更新） 2027/01/19 归功于量化收割集团，大A真他妈触犯天条。 股灾比棒子跌的还多，反弹连棒子零头不如。 07/31 14:20"
"洛飞笔记（新一期开始）","07/31 14:15","text_primary_candidate","洛飞笔记（新一期开始） 2027/01/19 平安喜乐 14:15:45 07/31 14:15"
"梦幻一步（试着更新，看参考价值）","07/31 14:15","text_primary_candidate","梦幻一步（试着更新，看参考价值） 2027/01/19 指数高开太多了.尾磐为什么好看的！ 07/31 14:15"
"独家一号（超短线）","07/31 14:13","text_primary_candidate","独家一号（超短线） 2027/01/19 群主: 长鑫我买回1层 07/31 14:13"
"鑫多多新","07/31 13:45","text_primary_candidate","鑫多多新 2027/01/19 鑫密多米： --------众多资深老古民深度剖析：鑫多多主动举牌背后藏着什么信号￥ 防止失联QQ群859780254 07/31 13:45"
"只爱主波浪","07/31 13:29","text_primary_candidate","只爱主波浪 2027/01/19 不来也不去慢慢回暖！慢慢蓄力！慢慢爆发！ 07/31 13:29"
"姆爷","07/31 13:25","text_primary_candidate","姆爷 2027/01/19 进了长光华芯10%，联特5% 07/31 13:25"
"红旗大街发哥","07/31 11:05","text_primary_candidate","红旗大街发哥 2027/01/19 #讲师# 李柏宏 09:39 再去一层588200 防止失联QQ群859780254 防止失联QQ群859780254 07/31 11:05"
"梦辰君","07/31 11:01","text_primary_candidate","梦辰君 2027/01/19 修心见道 2个换手都不错的 07/31 11:01"
"七福潜伏低吸","07/31 10:52","text_primary_candidate","七福潜伏低吸 2027/01/19 配置2层即可 07/31 10:52"
"小锦鲤","07/31 10:40","text_primary_candidate","小锦鲤 2027/01/19 小锦 今天共振走出来的是软件，开盘吸五洲去了没来得及追，有长鹰也够了，后面还是会抱团他的。 反向的就是五洲龙神这种，正向抱团反向抱团咱们两手都抓 07/31 10:40"
"潜伏王者（老师本人据反馈由于急症还在住院）","07/31 10:23","text_primary_candidate","潜伏王者（老师本人据反馈由于急症还在住院） 2027/01/19 ？ 天哥520 10:23:53 德明利开板.兆易创新开板.风华高科高开低走.科技左侧开得高.兑现也有.所以今天是内部卖点.还不是外部的买点 07/31 10:23"
"wu2198","07/31 10:12","text_primary_candidate","wu2198 2027/01/19 仅AA的真爱粉可见 对于大盘指数前面给大家分析了.二次反击点在3786附近.昨日试了3767.50点；那么在前面#3745.3741.3743）三针探底的基础上.将3741和3767连线暂时看成是反弹的支撑.万一破3740就止损......收复3886之后#白线）反弹行情才明朗。 提前给大家分析.不辜负大家的支持。谢谢！ 07/31 10:12"
"彭彧（星球）","07/31 09:46","text_primary_candidate","彭彧（星球） 2027/01/19 ID:100430承接也还蛮好 07/31 09:46"
"炒家信条抄底大师","07/31 09:36","text_primary_candidate","炒家信条抄底大师 2027/01/19 #大A投机# 哈药 准备离场吧 07/31 09:36"
"价值十一年新一期（基金）","07/31 09:23","text_primary_candidate","价值十一年新一期（基金） 2027/01/19 昨天吸科技的时候.特意公开提了一个±20％的标准 因为现在科技行情很极端.±10％弹性都已经不能满足.比如你买的+10％涨停了.人家±20％的还可以涨.人家-10％卖不出去.你±20％不卡流动性 昨天吸的科技etf.今天卖出观察点.其持仓+20％个股能否持续封死涨停.如果不能.大概率昨天下午买的标.今天能超+10％以上大涨.今天就卖了.隔夜A.不长情 我的观点.都是操作前发出来.权当与大家交流.不作为你的操作依据 07/31 09:23"
