script_family	group_name	variable_name	ui_label	default_value	range_or_options	evidence_level	note
GainzAlgo	Volatility Contraction	contractionThreshold	Contraction Threshold	0.5	0.3..0.8	step=0.05	source_code_visible	ATR below 50% average
GainzAlgo	Volatility Contraction	showContractionAlert	Show Contraction Alerts	true	bool	source_code_visible	default enabled
AG Pro	Core Engine	atrLen	ATR Length	14	min=1	source_code_visible	core engine default
AG Pro	Core Engine	baselineLen	Baseline Length	50	10..300	source_code_visible	core engine default
AG Pro	Core Engine	rangeWindow	Range Window	20	5..200	source_code_visible	core engine default
AG Pro	Core Engine	noiseWindow	Noise Window	10	3..80	source_code_visible	core engine default
AG Pro	Core Engine	containmentWindow	Containment Window	24	5..200	source_code_visible	core engine default
AG Pro	Core Engine	compressionThreshold	Compression Threshold	62.0	1.0..100.0	step=1.0	source_code_visible	ready threshold
AG Pro	Core Engine	matureThreshold	Mature Threshold	80.0	1.0..100.0	step=1.0	source_code_visible	mature threshold
AG Pro	Core Engine	strictMode	Strict Mode	false	bool	source_code_visible	selective gate disabled by default
AG Pro	Scoring	atrWeight	ATR Weight	30.0	0.0..100.0	step=1.0	source_code_visible	scoring weight
AG Pro	Scoring	rangeWeight	Range Weight	30.0	0.0..100.0	step=1.0	source_code_visible	scoring weight
AG Pro	Scoring	noiseWeight	Noise Weight	20.0	0.0..100.0	step=1.0	source_code_visible	scoring weight
AG Pro	Scoring	containmentWeight	Containment Weight	20.0	0.0..100.0	step=1.0	source_code_visible	scoring weight
AG Pro	Compression Pocket	showPocket	Show Compression Pocket	true	bool	source_code_visible	default enabled
AG Pro	Compression Pocket	showPocketText	Show Pocket Badge	true	bool	source_code_visible	default enabled
AG Pro	Compression Pocket	showPocketMidline	Show Pocket Midline	true	bool	source_code_visible	default enabled
AG Pro	Compression Pocket	showPocketQuarters	Show Quarter Guides	true	bool	source_code_visible	default enabled
AG Pro	Compression Pocket	projectPocketBars	Pocket Projection Bars	18	3..120	source_code_visible	projection length
AG Pro	Compression Pocket	archivePockets	Show Archived Pockets	true	bool	source_code_visible	default enabled
AG Pro	Compression Pocket	archiveCount	Archived Pocket Count	3	0..8	source_code_visible	default archive count
AG Pro	Compression Pocket	archiveProjection	Archived Pocket Projection	45	0..240	source_code_visible	projection length
AG Pro	Compression Pocket	minimumPocketBars	Minimum Pocket Bars	5	2..100	source_code_visible	minimum structure
AG Pro	Visuals	showRibbon	Show Compression Ribbon	true	bool	source_code_visible	default enabled
AG Pro	Visuals	showRightTags	Show Right-Side Tags	true	bool	source_code_visible	default enabled
AG Pro	Visuals	showEventLabels	Show Event Labels	true	bool	source_code_visible	default enabled
AG Pro	Visuals	eventDensity	Event Label Density	Normal	Low|Normal|High	source_code_visible	publication view default
AG Pro	Visuals	labelSizeInput	Label Text Size	Normal	Tiny|Small|Normal|Large	source_code_visible	recommended publication default
AG Pro	Visuals	rightTagOffset	Right Tag Offset	4	1..30	source_code_visible	right margin offset
AG Pro	Visuals	showBarColors	Color Bars By State	false	bool	source_code_visible	disabled by default
AG Pro	Panel	showPanel	Show Panel	true	bool	source_code_visible	enabled by default
AG Pro	Panel	panelPositionInput	Panel Location	Top Right	Top Left|Top Center|Top Right|Middle Left|Middle Center|Middle Right|Bottom Left|Bottom Center|Bottom Right	source_code_visible	panel placement
AG Pro	Panel	panelTheme	Panel Theme	Dark	Dark|Light	source_code_visible	public release default
AG Pro	Panel	panelSizeInput	Panel Text Size	Normal	Tiny|Small|Normal|Large	source_code_visible	recommended publication default
AG Pro	Alerts	alertCompressionReady	Alert: Compression Ready	true	bool	source_code_visible	attention marker
AG Pro	Alerts	alertMature	Alert: Mature Compression	true	bool	source_code_visible	attention marker
AG Pro	Alerts	alertRelease	Alert: Pocket Release	true	bool	source_code_visible	attention marker
AG Pro	Proof	showProof	Show Proof Layer	true	bool	source_code_visible	historical rates, not predictions
AG Pro	Proof	proofStopAtr	Proof Risk Unit (ATR)	1.20	0.30..5.00	step=0.10	source_code_visible	risk unit distance
AG Pro	Proof	proofHorizonBars	Proof Horizon Bars	30	4..300	source_code_visible	tracking window
AG Pro	Proof	reactBars	Reaction Window Bars	3	1..40	source_code_visible	early reaction window
AG Pro	Proof	reactProgressPct	Reaction Progress %	40.0	5.0..90.0	step=1.0	source_code_visible	progress threshold
