bucket_l1	file_name	source_path	staging_path	source_exists	staging_exists	source_size	staging_size	stage_status
01_集合竞价教程	【朱玄】集合竞价抓涨停.pdf	D:\Stock\cut_file\S\01_集合竞价教程\04.朱玄《集合竞价培训课》共2集\【朱玄】集合竞价抓涨停.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\04.朱玄《集合竞价培训课》共2集\【朱玄】集合竞价抓涨停.pdf	1	1	2715924	2715924	COPIED_OR_SYNCED
01_集合竞价教程	01.早盘集合竞价（实盘抓3涨停）.wmv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\05.枫叶《集合竞价培训课程》共4集\01.早盘集合竞价（实盘抓3涨停）.wmv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\05.枫叶《集合竞价培训课程》共4集\01.早盘集合竞价（实盘抓3涨停）.wmv_导出.md	1	1	13623	13623	COPIED_OR_SYNCED
01_集合竞价教程	02.集合竞价高量柱.wmv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\05.枫叶《集合竞价培训课程》共4集\02.集合竞价高量柱.wmv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\05.枫叶《集合竞价培训课程》共4集\02.集合竞价高量柱.wmv_导出.md	1	1	46644	46644	COPIED_OR_SYNCED
01_集合竞价教程	03.集合竞价战法.wmv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\05.枫叶《集合竞价培训课程》共4集\03.集合竞价战法.wmv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\05.枫叶《集合竞价培训课程》共4集\03.集合竞价战法.wmv_导出.md	1	1	28338	28338	COPIED_OR_SYNCED
01_集合竞价教程	04.集合竞价高量柱战法.avi_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\05.枫叶《集合竞价培训课程》共4集\04.集合竞价高量柱战法.avi_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\05.枫叶《集合竞价培训课程》共4集\04.集合竞价高量柱战法.avi_导出.md	1	1	25042	25042	COPIED_OR_SYNCED
01_集合竞价教程	如何设置通达信界面.pdf	D:\Stock\cut_file\S\01_集合竞价教程\05.枫叶《集合竞价培训课程》共4集\如何设置通达信界面.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\05.枫叶《集合竞价培训课程》共4集\如何设置通达信界面.pdf	1	1	1272584	1272584	COPIED_OR_SYNCED
01_集合竞价教程	01.集合竞价规则及异动.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\06.张馨元《集合竞价实战培训》共3集\01.集合竞价规则及异动.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\06.张馨元《集合竞价实战培训》共3集\01.集合竞价规则及异动.mp4_导出.md	1	1	7817	7817	COPIED_OR_SYNCED
01_集合竞价教程	02.集合竞价游资套路.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\06.张馨元《集合竞价实战培训》共3集\02.集合竞价游资套路.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\06.张馨元《集合竞价实战培训》共3集\02.集合竞价游资套路.mp4_导出.md	1	1	9967	9967	COPIED_OR_SYNCED
01_集合竞价教程	03.集合竞价买入法.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\06.张馨元《集合竞价实战培训》共3集\03.集合竞价买入法.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\06.张馨元《集合竞价实战培训》共3集\03.集合竞价买入法.mp4_导出.md	1	1	11294	11294	COPIED_OR_SYNCED
01_集合竞价教程	第1节：930分前筛选启动个股方案.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\07.周上人《集合竞价抓涨停技术》共4集\第1节：930分前筛选启动个股方案.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\07.周上人《集合竞价抓涨停技术》共4集\第1节：930分前筛选启动个股方案.mp4_导出.md	1	1	4030	4030	COPIED_OR_SYNCED
01_集合竞价教程	第2节：筛选有效个股的步骤.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\07.周上人《集合竞价抓涨停技术》共4集\第2节：筛选有效个股的步骤.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\07.周上人《集合竞价抓涨停技术》共4集\第2节：筛选有效个股的步骤.mp4_导出.md	1	1	49485	49485	COPIED_OR_SYNCED
01_集合竞价教程	第3节：介入法和卖出操作管理应对.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\07.周上人《集合竞价抓涨停技术》共4集\第3节：介入法和卖出操作管理应对.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\07.周上人《集合竞价抓涨停技术》共4集\第3节：介入法和卖出操作管理应对.mp4_导出.md	1	1	70329	70329	COPIED_OR_SYNCED
01_集合竞价教程	第4节：快速观察涨停股走势指标.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\07.周上人《集合竞价抓涨停技术》共4集\第4节：快速观察涨停股走势指标.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\07.周上人《集合竞价抓涨停技术》共4集\第4节：快速观察涨停股走势指标.mp4_导出.md	1	1	70962	70962	COPIED_OR_SYNCED
01_集合竞价教程	01.集合竞价（一）.flv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\08.范博《主力行为集合竞价》共3集\01.集合竞价（一）.flv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\08.范博《主力行为集合竞价》共3集\01.集合竞价（一）.flv_导出.md	1	1	20356	20356	COPIED_OR_SYNCED
01_集合竞价教程	02.集合竞价（二）.flv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\08.范博《主力行为集合竞价》共3集\02.集合竞价（二）.flv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\08.范博《主力行为集合竞价》共3集\02.集合竞价（二）.flv_导出.md	1	1	21627	21627	COPIED_OR_SYNCED
01_集合竞价教程	03.集合竞价（三）.flv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\08.范博《主力行为集合竞价》共3集\03.集合竞价（三）.flv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\08.范博《主力行为集合竞价》共3集\03.集合竞价（三）.flv_导出.md	1	1	25621	25621	COPIED_OR_SYNCED
01_集合竞价教程	01.游资为什么要关注集合竞价？.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\01.游资为什么要关注集合竞价？.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\01.游资为什么要关注集合竞价？.mp4_导出.md	1	1	7997	7997	COPIED_OR_SYNCED
01_集合竞价教程	02.主力是如何通过集合竞价来骗散户的？.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\02.主力是如何通过集合竞价来骗散户的？.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\02.主力是如何通过集合竞价来骗散户的？.mp4_导出.md	1	1	10414	10414	COPIED_OR_SYNCED
01_集合竞价教程	03.集合竞价排单技巧及黄金时间.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\03.集合竞价排单技巧及黄金时间.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\03.集合竞价排单技巧及黄金时间.mp4_导出.md	1	1	12057	12057	COPIED_OR_SYNCED
01_集合竞价教程	04.重大利好利空时排一字单技巧.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\04.重大利好利空时排一字单技巧.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\04.重大利好利空时排一字单技巧.mp4_导出.md	1	1	10633	10633	COPIED_OR_SYNCED
01_集合竞价教程	05.四大交易通道背后的奥秘.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\05.四大交易通道背后的奥秘.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\05.四大交易通道背后的奥秘.mp4_导出.md	1	1	12686	12686	COPIED_OR_SYNCED
01_集合竞价教程	06.三大涨停模型中集合竞价的实战.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\06.三大涨停模型中集合竞价的实战.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\09.戴强《屠龙战法破解集合竞价》共6集\06.三大涨停模型中集合竞价的实战.mp4_导出.md	1	1	12502	12502	COPIED_OR_SYNCED
01_集合竞价教程	01.讲义_集合竞价买入：如何看竞价.doc	D:\Stock\cut_file\S\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\01.讲义_集合竞价买入：如何看竞价.doc	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\01.讲义_集合竞价买入：如何看竞价.doc	1	1	27136	27136	COPIED_OR_SYNCED
01_集合竞价教程	01.集合竞价买入：如何看竞价.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\01.集合竞价买入：如何看竞价.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\01.集合竞价买入：如何看竞价.mp4_导出.md	1	1	39689	39689	COPIED_OR_SYNCED
01_集合竞价教程	02.讲义_集合竞价：竞价不及预期.doc	D:\Stock\cut_file\S\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\02.讲义_集合竞价：竞价不及预期.doc	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\02.讲义_集合竞价：竞价不及预期.doc	1	1	26624	26624	COPIED_OR_SYNCED
01_集合竞价教程	02.集合竞价：竞价不及预期.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\02.集合竞价：竞价不及预期.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\02.集合竞价：竞价不及预期.mp4_导出.md	1	1	26387	26387	COPIED_OR_SYNCED
01_集合竞价教程	03.讲义_集合竞价：竞价抢筹-板块抢筹.doc	D:\Stock\cut_file\S\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\03.讲义_集合竞价：竞价抢筹-板块抢筹.doc	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\03.讲义_集合竞价：竞价抢筹-板块抢筹.doc	1	1	27648	27648	COPIED_OR_SYNCED
01_集合竞价教程	03.集合竞价：竞价抢筹-板块抢筹.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\03.集合竞价：竞价抢筹-板块抢筹.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\10.首板《涨停板集合竞价》共3集\03.集合竞价：竞价抢筹-板块抢筹.mp4_导出.md	1	1	31801	31801	COPIED_OR_SYNCED
01_集合竞价教程	一剑封板《对集合竞价的理解》.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\一剑封板《对集合竞价的理解》.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\一剑封板《对集合竞价的理解》.mp4_导出.md	1	1	26349	26349	COPIED_OR_SYNCED
01_集合竞价教程	姜灵海《主控思维集合竞价选股实战》.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\姜灵海《主控思维集合竞价选股实战》.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\姜灵海《主控思维集合竞价选股实战》.mp4_导出.md	1	1	64460	64460	COPIED_OR_SYNCED
01_集合竞价教程	小黑龙《分时战法之集合竞价密码》.wmv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\小黑龙《分时战法之集合竞价密码》.wmv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\小黑龙《分时战法之集合竞价密码》.wmv_导出.md	1	1	55908	55908	COPIED_OR_SYNCED
01_集合竞价教程	柚子小M《集合竞价讲解》.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\柚子小M《集合竞价讲解》.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\柚子小M《集合竞价讲解》.mp4_导出.md	1	1	42951	42951	COPIED_OR_SYNCED
01_集合竞价教程	游资混江龙《如何观察集合竞价》.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\游资混江龙《如何观察集合竞价》.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\游资混江龙《如何观察集合竞价》.mp4_导出.md	1	1	4435	4435	COPIED_OR_SYNCED
01_集合竞价教程	田渊公《集合竞价选股方法及实战应用》.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\田渊公《集合竞价选股方法及实战应用》.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\田渊公《集合竞价选股方法及实战应用》.mp4_导出.md	1	1	41178	41178	COPIED_OR_SYNCED
01_集合竞价教程	白泽哥《集合竞价分析》.mkv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\白泽哥《集合竞价分析》.mkv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\白泽哥《集合竞价分析》.mkv_导出.md	1	1	110727	110727	COPIED_OR_SYNCED
01_集合竞价教程	网易云课堂《集合竞价》.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\网易云课堂《集合竞价》.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\网易云课堂《集合竞价》.mp4_导出.md	1	1	20413	20413	COPIED_OR_SYNCED
01_集合竞价教程	长风《集合竞价抓涨停战法》.avi_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\长风《集合竞价抓涨停战法》.avi_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\长风《集合竞价抓涨停战法》.avi_导出.md	1	1	26983	26983	COPIED_OR_SYNCED
01_集合竞价教程	高帥《集合竞价选股》.wmv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\高帥《集合竞价选股》.wmv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\高帥《集合竞价选股》.wmv_导出.md	1	1	110187	110187	COPIED_OR_SYNCED
01_集合竞价教程	龙头泰山《手把手教你集合竞价抓涨停》.avi_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\龙头泰山《手把手教你集合竞价抓涨停》.avi_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\11.百家争鸣《集合竞价视频》共10集\龙头泰山《手把手教你集合竞价抓涨停》.avi_导出.md	1	1	12245	12245	COPIED_OR_SYNCED
