date	open	high	low	close	volume
2026-03-15	5003.001	5029.945	4967.125	4993.325	4.37134
2026-03-16	4997.275	5037.715	4970.115	5012.645	40.02467
2026-03-17	5012.575	5044.355	4973.495	5002.695	31.50515
2026-03-18	5002.705	5016.065	4803.845	4836.505	64.71240
2026-03-19	4836.495	4866.995	4502.108	4643.325	65.53923
2026-03-20	4643.205	4735.835	4477.125	4490.055	58.66996
2026-03-22	4470.705	4535.815	4448.835	4464.415	4.79612
2026-03-23	4464.435	4512.665	4098.275	4440.915	91.00114
2026-03-24	4440.895	4551.118	4305.565	4546.375	99.13922
2026-03-25	4546.335	4602.125	4486.508	4497.875	55.48146
2026-03-26	4497.845	4544.275	4350.995	4404.935	61.48260
2026-03-27	4404.775	4554.965	4375.235	4492.375	44.39073
2026-03-29	4491.518	4514.675	4443.485	4448.495	4.32540
2026-03-30	4448.675	4580.465	4417.665	4513.325	45.64218
2026-03-31	4513.375	4699.825	4482.115	4696.065	51.03893
2026-04-01	4695.965	4800.185	4666.605	4783.698	44.96072
2026-04-02	4783.655	4798.525	4553.158	4675.805	57.32121
2026-04-05	4651.645	4664.715	4604.378	4610.078	4.81280
2026-04-06	4610.078	4706.255	4600.385	4658.555	40.41945
2026-04-07	4659.155	4836.105	4607.335	4832.958	65.32183
2026-04-08	4832.958	4856.998	4699.235	4715.215	47.79605
2026-04-09	4715.375	4801.015	4698.085	4763.435	37.29869
2026-04-10	4763.485	4794.765	4730.205	4746.935	34.13602
2026-04-12	4634.998	4690.685	4634.998	4671.155	8.30273
2026-04-13	4671.175	4765.668	4664.325	4757.365	35.26908
2026-04-14	4757.405	4850.445	4751.285	4836.935	36.62044
2026-04-15	4836.965	4871.165	4785.885	4823.205	32.83761
2026-04-16	4822.995	4838.335	4772.898	4791.505	32.05597
2026-04-17	4791.475	4889.335	4768.000	4829.115	34.73368
2026-04-19	4767.405	4794.635	4736.635	4754.945	4.18720
2026-04-20	4754.995	4832.845	4744.295	4821.485	34.82911
2026-04-21	4821.795	4830.565	4668.275	4737.795	47.08912
2026-04-22	4737.765	4772.165	4723.008	4727.525	34.81590
2026-04-23	4727.505	4753.585	4664.045	4695.025	54.63431
2026-04-24	4695.025	4739.995	4657.485	4707.865	48.10827
2026-04-26	4697.248	4703.995	4674.655	4679.825	2.56620
2026-04-27	4679.715	4729.875	4672.025	4680.545	25.49817
