date	open	high	low	close	volume
2016-01-06	1077.632	1095.180	1074.928	1092.559	77.55685
2016-01-07	1092.559	1092.910	1092.511	1092.828	0.08507
2017-01-02	1150.000	1152.472	1149.418	1150.361	0.62341
2017-01-03	1150.361	1164.408	1146.039	1157.109	56.89083
2017-01-04	1157.109	1167.862	1156.138	1165.818	61.22576
2017-01-05	1165.858	1185.038	1165.798	1180.772	82.35212
2017-01-06	1180.772	1180.969	1180.768	1180.868	0.03051
2018-01-01	1302.922	1307.602	1302.231	1306.711	1.62643
2018-01-02	1306.711	1321.401	1304.171	1320.211	110.38013
2018-01-03	1320.251	1321.281	1307.428	1311.112	112.05395
2018-01-04	1311.091	1325.969	1305.869	1320.892	104.30624
2018-01-05	1320.921	1321.142	1320.778	1321.031	0.06282
2019-01-01	1282.295	1282.345	1280.598	1281.118	0.99714
2019-01-02	1281.118	1290.148	1278.625	1285.815	37.16929
2019-01-03	1285.795	1295.218	1284.485	1295.118	53.76772
2019-01-04	1295.135	1298.538	1276.565	1284.945	47.99458
2019-01-06	1285.048	1286.355	1284.915	1285.495	0.01213
2020-01-01	1518.768	1521.068	1518.075	1518.285	0.58532
2020-01-02	1518.305	1531.328	1517.115	1528.728	44.29423
2020-01-03	1528.728	1553.515	1528.728	1551.515	72.82006
2020-01-05	1559.735	1585.625	1559.735	1569.145	3.65601
2020-01-06	1569.145	1569.145	1567.905	1568.425	0.05375
2021-01-03	1904.998	1914.858	1903.288	1913.035	3.09715
2021-01-04	1913.025	1945.495	1909.858	1941.668	56.86830
2021-01-05	1941.518	1953.085	1934.178	1950.108	49.88119
2021-01-06	1950.148	1959.225	1900.755	1923.985	71.80637
2021-01-07	1923.955	1924.345	1923.395	1923.645	0.05069
2022-01-02	1828.604	1831.624	1827.898	1828.354	0.69291
2022-01-03	1828.294	1831.458	1798.189	1804.028	36.60122
2022-01-04	1804.024	1816.688	1798.388	1813.788	37.42357
2022-01-05	1813.815	1829.584	1808.168	1810.178	42.01195
2022-01-06	1810.228	1810.328	1809.818	1809.998	0.02175
2023-01-02	1826.837	1829.958	1823.287	1829.295	1.65056
2023-01-03	1829.285	1849.865	1826.685	1836.348	40.38015
2023-01-04	1836.348	1865.035	1836.048	1854.648	44.55233
2023-01-05	1854.615	1858.875	1824.995	1832.725	38.37764
2023-01-06	1832.715	1832.785	1832.515	1832.645	0.00624
2024-01-01	2062.598	2066.595	2062.405	2063.615	0.46798
2024-01-02	2063.625	2078.825	2055.818	2059.455	28.26055
2024-01-03	2059.475	2065.835	2030.515	2042.895	29.19898
2024-01-04	2042.865	2050.855	2036.155	2044.098	20.91487
2024-01-05	2044.128	2044.128	2043.645	2043.845	0.02225
2025-01-01	2625.098	2626.005	2621.475	2623.555	0.76854
2025-01-02	2623.655	2660.375	2622.448	2658.295	65.55244
2025-01-03	2658.275	2665.185	2636.625	2639.898	64.40874
2025-01-05	2639.298	2642.235	2638.815	2640.848	1.07542
2025-01-06	2640.835	2641.155	2640.585	2640.755	0.02847
2026-01-01	4323.698	4351.005	4323.198	4347.805	0.86305
2026-01-02	4347.798	4401.928	4309.618	4331.575	44.20763
2026-01-04	4360.875	4375.665	4344.425	4372.345	2.53048
2026-01-05	4372.275	4459.815	4370.025	4440.285	59.66160
2026-01-06	4440.285	4440.955	4436.595	4438.315	0.03040
